"Message ID";"Date";"Author";"Type";"Category";"Subject";"N Run";"Shift leader";"Trigger";"DAQ status";"Mag. field";"Beam"
6;Fri  20 Feb 2015 12:03:41 +0300;"shift";"Routine";"General";;;;;;;
7;Sat  21 Feb 2015 11:20:22 +0300;"shift";"Shift started";"General";;;;;;;
8;Sat  21 Feb 2015 11:38:19 +0300;"kapishin";"Shift started";;;;;;;;
11;Sat  21 Feb 2015 12:23:49 +0300;"shift";"Problem report";;;;;;;;
12;Sat  21 Feb 2015 13:17:13 +0300;"shift";"Problem report";;;;;;;;
9;Sat  21 Feb 2015 14:27:39 +0300;"shift";"Routine";;;;;;;;
10;Sun  22 Feb 2015 09:07:45 +0300;"shift";"Shift started";"General";;;;;;;
13;Sun  22 Feb 2015 10:24:56 +0300;"shift";"Shift summary";;;;;;;;
14;Sun  22 Feb 2015 11:21:38 +0300;"shift";"Problem Fixed";;;;;;;;
15;Sun  22 Feb 2015 12:34:22 +0300;"babkin";"Configuration";"Hardware";;;;;;;
16;Sun  22 Feb 2015 12:37:30 +0300;"babkin";"Problem report";"Hardware";"SP-41";;;;;;
17;Sun  22 Feb 2015 12:46:57 +0300;"babkin";"Configuration";;;;;;;;
18;Sun  22 Feb 2015 14:39:11 +0300;"babkin";"Problem Fixed";"Hardware";;;;;;;
19;Sun  22 Feb 2015 14:40:42 +0300;"babkin";"Configuration";"General";"Stop beam.";;;;;;
20;Sun  22 Feb 2015 15:09:39 +0300;"babkin";"Routine";"General";"start beam";;;;;;
21;Sun  22 Feb 2015 16:05:12 +0300;"kapishin";"Routine";"General";;;;;;;
22;Sun  22 Feb 2015 16:21:06 +0300;"babkin";"Problem report";"Hardware";"Beam extraction.";;;;;;
23;Sun  22 Feb 2015 18:33:13 +0300;"babkin";"Routine";"General";"Start beam";;;;;;
24;Sun  22 Feb 2015 19:06:28 +0300;"kapishin";"Inform All";;"plan do utra 23.02.15";;;;;;
25;Sun  22 Feb 2015 21:13:10 +0300;"Piyadin";"Inform All";"General";"Nuclotron";;;;;;
27;Sun  22 Feb 2015 22:11:47 +0300;"Piyadin";"Software Installation";;"Daq";;;;;;
28;Sun  22 Feb 2015 22:22:53 +0300;"Piyadin";"Software Installation";;"DAQ";;;;;;
29;Sun  22 Feb 2015 22:42:19 +0300;"Piyadin";"Other";;"Stop";;;;;;
30;Sun  22 Feb 2015 22:46:34 +0300;"Piyadin";"Configuration";;"Magnet";;;;;;
31;Sun  22 Feb 2015 22:54:59 +0300;"Piyadin";"Other";;"close zone";;;;;;
32;Sun  22 Feb 2015 23:04:07 +0300;"Piyadin";"Configuration";;"Beam extraction.";;;;;;
34;Sun  22 Feb 2015 23:54:17 +0300;"Piyadin";"Configuration";;"DCH";;;;;;
35;Mon  23 Feb 2015 00:14:21 +0300;"Piyadin";"Configuration";;"run54";;;;;;
36;Mon  23 Feb 2015 11:30:50 +0300;"shift";"Routine";;;;;;;;
37;Mon  23 Feb 2015 13:51:50 +0300;"shift";"Problem Fixed";;;;;;;;
38;Mon  23 Feb 2015 15:48:28 +0300;"shift";"Routine";;;;;;;;
39;Mon  23 Feb 2015 17:50:38 +0300;"kapishin";"Inform All";;"plan do utra 24.02.15";;;;;;
40;Mon  23 Feb 2015 18:38:34 +0300;"shift";"Problem report";;;;;;;;
41;Mon  23 Feb 2015 21:23:09 +0300;"babkin";"Shift summary";"General";;;;;;;
42;Mon  23 Feb 2015 21:45:03 +0300;"Rumyantsev";"Shift summary";"General";;;;;;;
43;Tue  24 Feb 2015 01:56:26 +0300;"Rumyantsev";"Shift summary";;;;;;;;
44;Tue  24 Feb 2015 03:44:21 +0300;"Rumyantsev";"Problem report";;;;;;;;
45;Tue  24 Feb 2015 05:19:43 +0300;"Rumyantsev";"Shift summary";;;;;;;;
46;Tue  24 Feb 2015 07:21:08 +0300;"Rumyantsev";"Shift summary";;;;;;;;
47;Tue  24 Feb 2015 08:25:22 +0300;"Rumyantsev";"Shift summary";;;;;;;;
48;Tue  24 Feb 2015 09:16:01 +0300;"Rumyantsev";"Shift summary";;;;;;;;
49;Tue  24 Feb 2015 12:05:41 +0300;"shift";"Routine";;;;;;;;
50;Tue  24 Feb 2015 12:32:34 +0300;"kapishin";"Inform All";;;;;;;;
51;Sat  28 Feb 2015 08:41:37 +0300;"Dmitry Vishnevskiy";"Inform All";;"RAW data location";;;;;;
52;Thu  05 Mar 2015 19:02:42 +0300;"kapishin";"Inform All";;;;;;;;
53;Sat  07 Mar 2015 17:57:10 +0300;"kapishin";"Inform All";;;;;;;;
54;Sun  08 Mar 2015 13:14:21 +0300;"kapishin";"Inform All";;;;;;;;
55;Wed  11 Mar 2015 16:27:45 +0300;"kapishin";"Inform All";"General";;;;;;;
56;Thu  12 Mar 2015 16:56:46 +0300;"kapishin";"Inform All";"General";"plan na noch i den' 13.03";;;;;;
57;Fri  13 Mar 2015 18:14:22 +0300;"kapishin";"Inform All";;"plan na noch i utro 14.03.";;;;;;
58;Sat  14 Mar 2015 11:22:11 +0300;"shift";"Other";"General";"BKH-2 magnet polarity";;;;;;
59;Sat  14 Mar 2015 13:54:10 +0300;"shift";"Other";;;;;;;;
60;Sat  14 Mar 2015 14:08:00 +0300;"shift";"Other";;;;;;;;
61;Sun  15 Mar 2015 09:34:26 +0300;"kapishin";"Inform All";;"Run finished";;;;;;
62;Tue  28 Jun 2016 13:17:02 +0300;"kapishin";"Inform All";"General";"e-logbook ";;;;;;
63;Wed  29 Jun 2016 15:07:09 +0300;"shift";"Inform All";"General";"E-logbook notify";;;;;;
64;Fri  09 Dec 2016 12:16:16 +0300;"shift";"Other";"General";"first run 430";"430";"Yurevich";"T0";"trigger + GEM";"magfield  0";"T0 rate 70k / spill"
65;Fri  09 Dec 2016 12:43:42 +0300;"shift";"Other";"General";"ZDC in readout";"431";"Yurevich";"T0";"Trigger ToF400 GEM ZDC";"0";"70k "
66;Fri  09 Dec 2016 17:17:22 +0300;"shift";"Inform All";"General";"Alignment run GEM DCH MWPC ToF-400 ToF-700 ZDC";"448";"Yurevich";"Beam trigger: T0+BC1+BC2+Veto";"GEM DCH MWPC ToF-400 ToF-700 ZDC trigger";"0";"BC1 40-50 k per spill"
67;Fri  09 Dec 2016 18:18:28 +0300;"kapishin";"Inform All";;"Ion chamber: control data for beam stability in F3 (from N.Piskunov)";"448";"Yurevich";"None";;;
68;Fri  09 Dec 2016 18:27:54 +0300;"shift";"Inform All";"General";"Alignment run GEM DCH MWPC ToF-400 ToF-700 ZDC, interactions";"458";"Yurevich";"Min bias: FD + beam trigger";"GEM DCH MWPC ToF-400 ToF-700 ZDC,";"0";"BC1 30-40 k per spill"
69;Fri  09 Dec 2016 21:09:40 +0300;"YUREVICH";"Other";;;"468";"Yurevich";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ";"1200A (76.076 mV)";"d 4 GeV/n"
70;Fri  09 Dec 2016 21:59:41 +0300;"shift";"Inform All";"General";;"472";"Spaskov";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ";"900 A, 56.65 mv";"d 4 GeV/n"
