Chamber 0 ( 27.1) strip 0 offset  15.0 time bins, direction 1
Chamber 0 ( 27.1) strip 1 offset  11.0 time bins, direction 1
Chamber 0 ( 27.1) strip 2 offset  -3.0 time bins, direction 1
Chamber 0 ( 27.1) strip 3 offset   9.0 time bins, direction 1
Chamber 0 ( 27.1) strip 4 offset  11.0 time bins, direction 1
Chamber 0 ( 27.1) strip 5 offset  13.0 time bins, direction 1
Chamber 0 ( 27.1) strip 6 offset  27.0 time bins, direction 1
Chamber 0 ( 27.1) strip 7 offset  37.0 time bins, direction 1
Chamber 0 ( 27.1) strip 8 offset  17.0 time bins, direction 1
Chamber 0 ( 27.1) strip 9 offset  11.0 time bins, direction 1
Chamber 0 ( 27.1) strip 10 offset  27.0 time bins, direction 1
Chamber 0 ( 27.1) strip 11 offset  -5.0 time bins, direction 1
Chamber 0 ( 27.1) strip 12 offset  17.0 time bins, direction 1
Chamber 0 ( 27.1) strip 13 offset   9.0 time bins, direction 1
Chamber 0 ( 27.1) strip 14 offset  -1.0 time bins, direction 1
Chamber 0 ( 27.1) strip 15 offset   7.0 time bins, direction 1
Chamber 0 ( 27.1) strip 16 offset   9.0 time bins, direction 1
Chamber 0 ( 27.1) strip 17 offset  13.0 time bins, direction 1
Chamber 0 ( 27.1) strip 18 offset  31.0 time bins, direction 1
Chamber 0 ( 27.1) strip 19 offset   7.0 time bins, direction 1
Chamber 0 ( 27.1) strip 20 offset  11.0 time bins, direction 1
Chamber 0 ( 27.1) strip 21 offset  17.0 time bins, direction 1
Chamber 0 ( 27.1) strip 22 offset  33.0 time bins, direction 1
Chamber 0 ( 27.1) strip 23 offset  17.0 time bins, direction 1
Chamber 0 ( 27.1) strip 24 offset   9.0 time bins, direction 1
Chamber 0 ( 27.1) strip 25 offset   5.0 time bins, direction 1
Chamber 0 ( 27.1) strip 27 offset   3.0 time bins, direction 1
Chamber 0 ( 27.1) strip 28 offset  15.0 time bins, direction 1
Chamber 0 ( 27.1) strip 29 offset  -1.0 time bins, direction 1
