Plane	Strip	Speed
0 1 0.0619922
0 2 0.0616514
0 3 0.0611241
0 4 0.0609343
0 5 0.0608986
0 6 0.0608975
0 7 0.0612863
0 8 0.0601484
0 9 0.060349
0 10 0.0596435
0 11 0.0595888
0 12 0.0590942
0 13 0.0593899
0 14 0.0596809
0 15 0.059607
0 16 0.0595912
0 17 0.0587175
0 18 0.058777
0 19 0.0593581
0 20 0.0584634
0 21 0.0587237
0 22 0.0594562
0 23 0.0594708
0 24 0.0592732
0 25 0.0598108
0 26 0.0597242
0 27 0.0602582
0 28 0.0605709
0 29 0.0607357
0 30 0.0618348
0 31 0.0661559
0 32 0.0600176
1 1 0.0630212
1 2 0.0619557
1 3 0.0628243
1 4 0.0618232
1 5 0.0611286
1 6 0.0614242
1 7 0.0619044
1 8 0.0625312
1 9 0.0614974
1 10 0.0615732
1 11 0.0620133
1 12 0.062409
1 13 0.0610672
1 14 0.062356
1 15 0.0632313
1 16 0.061834
1 17 0.0620693
1 18 0.0614232
1 19 0.0619664
1 20 0.062838
1 21 0.0611331
1 22 0.0618166
1 23 0.0622991
1 24 0.0627329
1 25 0.0613281
1 26 0.0614454
1 27 0.0619932
1 28 0.0627915
1 29 0.0619103
1 30 0.0616177
1 31 0.0685171
1 32 0.0617419
2 1 0.0618209
2 2 0.0615135
2 3 0.0612829
2 4 0.0604182
2 5 0.060799
2 6 0.0601334
2 7 0.0598829
2 8 0.0592338
2 9 0.0598355
2 10 0.0591802
2 11 0.0592019
2 12 0.0590985
2 13 0.0596468
2 14 0.0595271
2 15 0.0592896
2 16 0.0596292
2 17 0.0587127
2 18 0.059364
2 19 0.0586811
2 20 0.0595888
2 21 0.0597171
2 22 0.0595053
2 23 0.0598263
2 24 0.0592309
2 25 0.0819589
2 26 0.0695426
2 27 0.0590198
2 28 0.0596569
2 29 0.0588085
2 30 0.0597819
2 31 0.0643681
2 32 0.0600171
3 1 0.0609437
3 2 0.0608671
3 3 0.0609596
3 4 0.0604546
3 5 0.0599294
3 6 0.0604929
3 7 0.0601323
3 8 0.0593403
3 9 0.059225
3 10 0.0589343
3 11 0.0590996
3 12 0.059364
3 13 0.0597323
3 14 0.0594939
3 15 0.0603512
3 16 0.0605133
3 17 0.059904
3 18 0.0600201
3 19 0.0597301
3 20 0.0598499
3 21 0.0595886
3 22 0.0600992
3 23 0.0598784
3 24 0.059554
3 25 0.0593947
3 26 0.0588236
3 27 0.0602388
3 28 0.060342
3 29 0.0615128
3 30 0.06287
3 31 0.0668997
3 32 0.0612719
4 1 0.0600058
4 2 0.0602347
4 3 0.0598078
4 4 0.0598541
4 5 0.0597018
4 6 0.0584343
4 7 0.0588244
4 8 0.0591388
4 9 0.0595007
4 10 0.0585233
4 11 0.0603059
4 12 0.0594938
4 13 0.0599719
4 14 0.0598058
4 15 0.060006
4 16 0.0596658
4 17 0.0595571
4 18 0.0612012
4 19 0.0603941
4 20 0.0598623
4 21 0.060403
4 22 0.0605388
4 23 0.0604075
4 24 0.0601655
4 25 0.059977
4 26 0.060591
4 27 0.0610214
4 28 0.0611506
4 29 0.0621014
4 30 0.0628168
4 31 0.067172
4 32 0.0604117
5 1 0.060772
5 2 0.0623551
5 3 0.0607508
5 4 0.0598361
5 5 0.0608071
5 6 0.0596626
5 7 0.0593641
5 8 0.0597905
5 9 0.0593155
5 10 0.0597353
5 11 0.0597321
5 12 0.0599433
5 13 0.0607499
5 14 0.0604059
5 15 0.0607499
5 16 0.061279
5 17 0.0614563
5 18 0.0604513
5 19 0.0603053
5 20 0.0612173
5 21 0.0610927
5 22 0.0609284
5 23 0.0609772
5 24 0.0613702
5 25 0.0620633
5 26 0.0619386
5 27 0.0620739
5 28 0.0622798
5 29 0.0623646
5 30 0.062508
5 31 0.0669276
5 32 0.0613748
6 1 0.0602067
6 2 0.0627018
6 3 0.0644245
6 4 0.0642576
6 5 0.0642913
6 6 0.0635885
6 7 0.0661197
6 8 0.0643961
6 9 0.0636522
6 10 0.0658886
6 11 0.0647517
6 12 0.0626053
6 13 0.0640841
6 14 0.0666512
6 15 0.066904
6 16 0.0641392
6 17 0.0641916
6 18 0.0659081
6 19 0.0648241
6 20 0.0656222
6 21 0.0654958
6 22 0.0630379
6 23 0.0612781
6 24 0.0611996
6 25 0.0621706
6 26 0.061452
6 27 0.0609568
6 28 0.0614088
6 29 0.0608639
6 30 0.0611038
6 31 0.0645361
6 32 0.0637695
7 1 0.0613947
7 2 0.0626011
7 3 0.0627748
7 4 0.0631024
7 5 0.0623912
7 6 0.0640756
7 7 0.0640547
7 8 0.0663709
