Plane   Group   Crate#          Slot    Ch_Lo   Ch_hi
=====================================================
VA_1    4       0x68e5c5        1       0       15
VA_1    5       0x68e5c5        1       16      31
VA_1    6       0x68e5c5        1       32      47
VA_1    7       0x68e5c5        1       48      63
VA_1    8       0x68e5c5        2       0       15

VB_1    4       0x68e5c5        2       16      31
VB_1    5       0x68e5c5        2       32      47
VB_1    6       0x68e5c5        2       48      63
VB_1    7       0x68e5c5        4       0       15
VB_1    8       0x68e5c5        4       16      31

UA_1    7       0x68e5c5        4       32      47
UA_1    8       0x68e5c5        4       48      63
UA_1    9       0x68e5c5        5       0       15
UA_1    10      0x68e5c5        5       16      31
UA_1    11      0x68e5c5        5       32      47

UB_1    7       0x68e5c5        5       48      63
UB_1    8       0x68e5c5        6       0       15
UB_1    9       0x68e5c5        6       16      31
UB_1    10      0x68e5c5        6       32      47
UB_1    11      0x68e5c5        6       48      63

XA_1    3       0x68e5c5        8       32      47
XA_1    4       0x68e5c5        8       48      63
XA_1    5       0x68e5c5        9       0       15
XA_1    6       0x68e5c5        9       16      31
XA_1    7       0x68e5c5        9       32      47

XB_1    3       0x68e5c5        9       48      63
XB_1    4       0x68e5c5        10      0       15
XB_1    5       0x68e5c5        10      16      31
XB_1    6       0x68e5c5        10      32      47
XB_1    7       0x68e5c5        10      48      63

YA_1    6       0x68e5c5        7       0       15
YA_1    7       0x68e5c5        7       16      31
YA_1    8       0x68e5c5        7       32      47

YB_1    6       0x68e5c5        7       48      63
YB_1    7       0x68e5c5        8       0       15
YB_1    8       0x68e5c5        8       16      31

VA_2    4       0x68e5c5        12      0       15
VA_2    5       0x68e5c5        12      16      31
VA_2    6       0x68e5c5        12      32      47
VA_2    7       0x68e5c5        12      48      63
VA_2    8       0x68e5c5        13      0       15

VB_2    4       0x68e5c5        13      16      31
VB_2    5       0x68e5c5        13      32      47
VB_2    6       0x68e5c5        13      48      63
VB_2    7       0x68e5c5        14      0       15
VB_2    8       0x68e5c5        14      16      31

UA_2    7       0x68e5c5        14      32      47
UA_2    8       0x68e5c5        14      48      63
UA_2    9       0x68e5c5        15      0       15
UA_2    10      0x68e5c5        15      16      31
UA_2    11      0x68e5c5        15      32      47

UB_2    7       0x68e5c5        15      48      63
UB_2    8       0x68e5c5        16      0       15
UB_2    9       0x68e5c5        16      16      31
UB_2    10      0x68e5c5        16      32      47
UB_2    11      0x68e5c5        16      48      63

XA_2    3       0x68e5c5        18      32      47
XA_2    4       0x68e5c5        18      48      63
XA_2    5       0x68e5c5        19      0       15
XA_2    6       0x68e5c5        19      16      31
XA_2    7       0x68e5c5        19      32      47

XB_2    3       0x68e5c5        19      48      63
XB_2    4       0x68e5c5        20      0       15
XB_2    5       0x68e5c5        20      16      31
XB_2    6       0x68e5c5        20      32      47
XB_2    7       0x68e5c5        20      48      63

YA_2    6       0x68e5c5        17      0       15
YA_2    7       0x68e5c5        17      16      31
YA_2    8       0x68e5c5        17      32      47

YB_2    6       0x68e5c5        18      0       15
YB_2    7       0x68e5c5        18      16      31
YB_2    8       0x68e5c5        17      48      63

