Plane   Group   Crate#        Slot   Ch_Lo    Ch_hi
=====================================================
VA_1    0       0x46f1f79        3       0       15 
VA_1    1       0x46f1f79        3      16       31 
VA_1    2       0x46f1f79        3      32       47 
VA_1    3       0x46f1f79        3      48       63 
VA_1    4       0x46f1f79        4       0       15 
VA_1    5       0x46f1f79        4      16       31 
VA_1    6       0x46f1f79        4      32       47 
VA_1    7       0x46f1f79        4      48       63 
VA_1   15       0x46f1f79        5       0       15 
VA_1    8       0x46f1f79        5      16       31 
VA_1    9       0x46f1f79        5      32       47 
VA_1   10       0x46f1f79        5      48       63 
VA_1   11       0x46f1f79        6       0       15 
VA_1   12       0x46f1f79        6      16       31 
VA_1   13       0x46f1f79        6      32       47 
VA_1   14       0x46f1f79        6      48       63 
VB_1    0       0x46f1f79        7       0       15 
VB_1    1       0x46f1f79        7      16       31 
VB_1    2       0x46f1f79        7      32       47 
VB_1    3       0x46f1f79        7      48       63 
VB_1    4       0x46f1f79        8       0       15 
VB_1    5       0x46f1f79        8      16       31 
VB_1    6       0x46f1f79        8      32       47 
VB_1    7       0x46f1f79        8      48       63 
VB_1   15       0x46f1f79        9       0       15 
VB_1    8       0x46f1f79        9      16       31 
VB_1    9       0x46f1f79        9      32       47 
VB_1   10       0x46f1f79        9      48       63 
VB_1   11       0x46f1f79       10       0       15 
VB_1   12       0x46f1f79       10      16       31 
VB_1   13       0x46f1f79       10      32       47 
VB_1   14       0x46f1f79       10      48       63 
UA_1    0       0x46f1f79       12       0       15 
UA_1    1       0x46f1f79       12      16       31 
UA_1    2       0x46f1f79       12      32       47 
UA_1    3       0x46f1f79       12      48       63 
UA_1    4       0x46f1f79       13       0       15 
UA_1    5       0x46f1f79       13      16       31 
UA_1    6       0x46f1f79       13      32       47 
UA_1    7       0x46f1f79       13      48       63 
UA_1   15       0x46f1f79       14       0       15 
UA_1    8       0x46f1f79       14      16       31 
UA_1    9       0x46f1f79       14      32       47 
UA_1   10       0x46f1f79       14      48       63 
UA_1   11       0x46f1f79       15       0       15 
UA_1   12       0x46f1f79       15      16       31 
UA_1   13       0x46f1f79       15      32       47 
UA_1   14       0x46f1f79       15      48       63 
UB_1    0       0x46f1f79       16       0       15 
UB_1    1       0x46f1f79       16      16       31 
UB_1    2       0x46f1f79       16      32       47 
UB_1    3       0x46f1f79       16      48       63 
UB_1    4       0x46f1f79       17       0       15 
UB_1    5       0x46f1f79       17      16       31 
UB_1    6       0x46f1f79       17      32       47 
UB_1    7       0x46f1f79       17      48       63 
UB_1   15       0x46f1f79       18       0       15 
UB_1    8       0x46f1f79       18      16       31 
UB_1    9       0x46f1f79       18      32       47 
UB_1   10       0x46f1f79       18      48       63 
UB_1   11       0x46f1f79       19       0       15 
UB_1   12       0x46f1f79       19      16       31 
UB_1   13       0x46f1f79       19      32       47 
UB_1   14       0x46f1f79       19      48       63 
XA_1    0       0x76d37e1       12       0       15 
XA_1    1       0x76d37e1       12      16       31 
XA_1    2       0x76d37e1       12      32       47 
XA_1    3       0x76d37e1       12      48       63 
XA_1    4       0x76d37e1       13       0       15 
XA_1    5       0x76d37e1       13      16       31 
XA_1    6       0x76d37e1       13      32       47 
XA_1    7       0x76d37e1       13      48       63 
XA_1   15       0x76d37e1       14       0       15 
XA_1    8       0x76d37e1       14      16       31 
XA_1    9       0x76d37e1       14      32       47 
XA_1   10       0x76d37e1       14      48       63 
XA_1   11       0x76d37e1       15       0       15 
XA_1   12       0x76d37e1       15      16       31 
XA_1   13       0x76d37e1       15      32       47 
XA_1   14       0x76d37e1       15      48       63 
XB_1    0       0x76d37e1       16       0       15 
XB_1    1       0x76d37e1       16      16       31 
XB_1    2       0x76d37e1       16      32       47 
XB_1    3       0x76d37e1       16      48       63 
XB_1    4       0x76d37e1       17       0       15 
XB_1    5       0x76d37e1       17      16       31 
XB_1    6       0x76d37e1       17      32       47 
XB_1    7       0x76d37e1       17      48       63 
XB_1   15       0x76d37e1       18       0       15 
XB_1    8       0x76d37e1       18      16       31 
XB_1    9       0x76d37e1       18      32       47 
XB_1   10       0x76d37e1       18      48       63 
XB_1   11       0x76d37e1       19       0       15 
XB_1   12       0x76d37e1       19      16       31 
XB_1   13       0x76d37e1       19      32       47 
XB_1   14       0x76d37e1       19      48       63 
YA_1    2       0x76d37e1        5       0       15 
YA_1    3       0x76d37e1        5      16       31 
YA_1    4       0x76d37e1        5      32       47 
YA_1    5       0x76d37e1        5      48       63 
YA_1    6       0x76d37e1        6       0       15 
YA_1    7       0x76d37e1        6      16       31 
YA_1   15       0x76d37e1        6      32       47 
YA_1    8       0x76d37e1        6      48       63 
YA_1    9       0x76d37e1        7       0       15 
YA_1   10       0x76d37e1        7      16       31 
YA_1   11       0x76d37e1        7      32       47 
YA_1   12       0x76d37e1        7      48       63 
YB_1    2       0x76d37e1        8       0       15 
YB_1    3       0x76d37e1        8      16       31 
YB_1    4       0x76d37e1        8      32       47 
YB_1    5       0x76d37e1        8      48       63 
YB_1    6       0x76d37e1        9       0       15 
YB_1    7       0x76d37e1        9      16       31 
YB_1   15       0x76d37e1        9      32       47 
YB_1    8       0x76d37e1        9      48       63 
YB_1    9       0x76d37e1       10       0       15 
YB_1   10       0x76d37e1       10      16       31 
YB_1   11       0x76d37e1       10      32       47 
YB_1   12       0x76d37e1       10      48       63
VA_2    0       0x56a3566        3       0       15 
VA_2    1       0x56a3566        3      16       31 
VA_2    2       0x56a3566        3      32       47 
VA_2    3       0x56a3566        3      48       63 
VA_2    4       0x56a3566        4       0       15 
VA_2    5       0x56a3566        4      16       31 
VA_2    6       0x56a3566        4      32       47 
VA_2    7       0x56a3566        4      48       63 
VA_2   15       0x56a3566        5       0       15 
VA_2    8       0x56a3566        5      16       31 
VA_2    9       0x56a3566        5      32       47 
VA_2   10       0x56a3566        5      48       63 
VA_2   11       0x56a3566        6       0       15 
VA_2   12       0x56a3566        6      16       31 
VA_2   13       0x56a3566        6      32       47 
VA_2   14       0x56a3566        6      48       63 
VB_2    0       0x56a3566        7       0       15 
VB_2    1       0x56a3566        7      16       31 
VB_2    2       0x56a3566        7      32       47 
VB_2    3       0x56a3566        7      48       63 
VB_2    4       0x56a3566        8       0       15 
VB_2    5       0x56a3566        8      16       31 
VB_2    6       0x56a3566        8      32       47 
VB_2    7       0x56a3566        8      48       63 
VB_2   15       0x56a3566        9       0       15 
VB_2    8       0x56a3566        9      16       31 
VB_2    9       0x56a3566        9      32       47 
VB_2   10       0x56a3566        9      48       63 
VB_2   11       0x56a3566       10       0       15 
VB_2   12       0x56a3566       10      16       31 
VB_2   13       0x56a3566       10      32       47 
VB_2   14       0x56a3566       10      48       63 
UA_2    0       0x56a3566       12       0       15 
UA_2    1       0x56a3566       12      16       31 
UA_2    2       0x56a3566       12      32       47 
UA_2    3       0x56a3566       12      48       63 
UA_2    4       0x56a3566       13       0       15 
UA_2    5       0x56a3566       13      16       31 
UA_2    6       0x56a3566       13      32       47 
UA_2    7       0x56a3566       13      48       63 
UA_2   15       0x56a3566       14       0       15 
UA_2    8       0x56a3566       14      16       31 
UA_2    9       0x56a3566       14      32       47 
UA_2   10       0x56a3566       14      48       63 
UA_2   11       0x56a3566       15       0       15 
UA_2   12       0x56a3566       15      16       31 
UA_2   13       0x56a3566       15      32       47 
UA_2   14       0x56a3566       15      48       63 
UB_2    0       0x56a3566       16       0       15 
UB_2    1       0x56a3566       16      16       31 
UB_2    2       0x56a3566       16      32       47 
UB_2    3       0x56a3566       16      48       63 
UB_2    4       0x56a3566       17       0       15 
UB_2    5       0x56a3566       17      16       31 
UB_2    6       0x56a3566       17      32       47 
UB_2    7       0x56a3566       17      48       63 
UB_2   15       0x56a3566       18       0       15 
UB_2    8       0x56a3566       18      16       31 
UB_2    9       0x56a3566       18      32       47 
UB_2   10       0x56a3566       18      48       63 
UB_2   11       0x56a3566       19       0       15 
UB_2   12       0x56a3566       19      16       31 
UB_2   13       0x56a3566       19      32       47 
UB_2   14       0x56a3566       19      48       63
XA_2    0       0x168e5c5       12       0       15 
XA_2    1       0x168e5c5       12      16       31 
XA_2    2       0x168e5c5       12      32       47 
XA_2    3       0x168e5c5       12      48       63 
XA_2    4       0x168e5c5       13       0       15 
XA_2    5       0x168e5c5       13      16       31 
XA_2    6       0x168e5c5       13      32       47 
XA_2    7       0x168e5c5       13      48       63 
XA_2   15       0x168e5c5       14       0       15 
XA_2    8       0x168e5c5       14      16       31 
XA_2    9       0x168e5c5       14      32       47 
XA_2   10       0x168e5c5       14      48       63 
XA_2   11       0x168e5c5       15       0       15 
XA_2   12       0x168e5c5       15      16       31 
XA_2   13       0x168e5c5       15      32       47 
XA_2   14       0x168e5c5       15      48       63 
XB_2    0       0x168e5c5       16       0       15 
XB_2    1       0x168e5c5       16      16       31 
XB_2    2       0x168e5c5       16      32       47 
XB_2    3       0x168e5c5       16      48       63 
XB_2    4       0x168e5c5       17       0       15 
XB_2    5       0x168e5c5       17      16       31 
XB_2    6       0x168e5c5       17      32       47 
XB_2    7       0x168e5c5       17      48       63 
XB_2   15       0x168e5c5       18       0       15 
XB_2    8       0x168e5c5       18      16       31 
XB_2    9       0x168e5c5       18      32       47 
XB_2   10       0x168e5c5       18      48       63 
XB_2   11       0x168e5c5       19       0       15 
XB_2   12       0x168e5c5       19      16       31 
XB_2   13       0x168e5c5       19      32       47 
XB_2   14       0x168e5c5       19      48       63
YA_2    2       0x168e5c5        5       0       15 
YA_2    3       0x168e5c5        5      16       31 
YA_2    4       0x168e5c5        5      32       47 
YA_2    5       0x168e5c5        5      48       63 
YA_2    6       0x168e5c5        6       0       15 
YA_2    7       0x168e5c5        6      16       31 
YA_2   15       0x168e5c5        6      32       47 
YA_2    8       0x168e5c5        6      48       63 
YA_2    9       0x168e5c5        7       0       15 
YA_2   10       0x168e5c5        7      16       31 
YA_2   11       0x168e5c5        7      32       47 
YA_2   12       0x168e5c5        7      48       63 
YB_2    2       0x168e5c5        8       0       15 
YB_2    3       0x168e5c5        8      16       31 
YB_2    4       0x168e5c5        8      32       47 
YB_2    5       0x168e5c5        8      48       63 
YB_2    6       0x168e5c5        9       0       15 
YB_2    7       0x168e5c5        9      16       31 
YB_2   15       0x168e5c5        9      32       47 
YB_2    8       0x168e5c5        9      48       63 
YB_2    9       0x168e5c5       10       0       15 
YB_2   10       0x168e5c5       10      16       31 
YB_2   11       0x168e5c5       10      32       47 
YB_2   12       0x168e5c5       10      48       63
