    Serial   Station    Plane
=============================
0x046F47CB         0        0
0x046F2FFF         0        1
0x046F304F         0        2
0x046F3F8E         0        3
0x046F4504         0        4
0x046F30B8         0        5
0x046F45DF         1        0
0x046F4513         1        1
0x046EFA79         1        2
0x046F304E         1        3
0x046F1A8D         1        4
0x046F028B         1        5
0x06E9B78B         2        0
0x046F2950         2        1
0x06E9B820         2        2
0x06E9B8BE         2        3
0x06E9B83F         2        4
0x06E9B838         2        5
0x06E9B8C5         3        0
0x06E9B791         3        1
0x06E9FFB7         3        2
0x06EA474D         3        3
0x06E9B8A5         3        4
0x06E9FFB4         3        5
