Plane	Strip	MeanFit	Mean
==========================
0	0	-0.0234375	-0.0234375
0	1	0.046875	0.046875
0	2	0.046875	0.046875
0	3	-0.09375	-0.09375
0	4	-0.0234375	-0.0234375
0	5	0.0234375	0.0234375
0	6	0.0234375	0.0234375
0	7	0.0234375	0.0234375
0	8	0.0703125	0.0703125
0	9	-0.0234375	-0.0234375
0	10	0.0234375	0.0234375
0	11	5.72528e-13	-4.7276e-17
0	12	0.0234375	0.0234375
0	13	-0.117187	-0.117188
0	14	-0.0234375	-0.0234375
0	15	-0.0234375	-0.0234375
0	16	8.33649e-14	1.12075e-17
0	17	-4.43388e-14	0
0	18	0.09375	0.09375
0	19	0.0703125	0.0703125
0	20	0.164062	0.164063
0	21	0.046875	0.046875
0	22	0.046875	0.046875
0	23	-0.0703125	-0.0703125
0	24	0.117187	0.117188
0	25	0.257813	0.257812
0	26	0.164062	0.164063
0	27	0.0703125	0.0703125
0	28	0.257813	0.257812
0	29	0.1875	0.1875
0	30	0.328125	0.328125
0	31	0.210937	0.210938
0	32	0.351563	0.351563
0	33	0.117187	0.117187
0	34	0.257812	0.257812
0	35	0.257813	0.257813
0	36	0.304687	0.304688
0	37	0.164062	0.164062
0	38	0.304688	0.304687
0	39	0.257812	0.257813
0	40	0.257812	0.257812
0	41	0.234375	0.234375
0	42	0.257812	0.257812
0	43	0.234375	0.234375
0	44	0.328125	0.328125
0	45	0.140625	0.140625
0	46	0.140625	0.140625
0	47	0.210938	0.210938
1	0	0.117188	0.117188
1	1	0.164062	0.164063
1	2	0.117187	0.117187
1	3	0.0234375	0.0234375
1	4	0.0703125	0.0703125
1	5	0.0234375	0.0234375
1	6	0.117187	0.117187
1	7	0.0703125	0.0703125
1	8	0.0234375	0.0234375
1	9	0.0234375	0.0234375
1	10	0.164062	0.164062
1	11	-0.0234375	-0.0234375
1	12	0.117188	0.117187
1	13	-0.0234375	-0.0234375
1	14	0.0703125	0.0703125
1	15	-0.0234375	-0.0234375
1	16	-0.0234375	-0.0234375
1	17	-0.117188	-0.117188
1	18	0.117188	0.117188
1	19	-0.0234375	-0.0234375
1	20	0.0234375	0.0234375
1	21	0.0703125	0.0703125
1	22	0.0234375	0.0234375
1	23	0.0703125	0.0703125
1	24	0.0703125	0.0703125
1	25	0.164063	0.164063
1	26	0.0703125	0.0703125
1	27	-0.0703125	-0.0703125
1	28	0.117188	0.117188
1	29	0.0703125	0.0703125
1	30	0.117188	0.117188
1	31	0.0703125	0.0703125
1	32	0.164062	0.164062
1	33	0.0703125	0.0703125
1	34	0.164062	0.164063
1	35	0.0234375	0.0234375
1	36	0.0703125	0.0703125
1	37	-5.38247e-13	-2.28756e-17
1	38	0.0703125	0.0703125
1	39	-2.15044e-13	-2.33113e-17
1	40	0.09375	0.09375
1	41	0.0234375	0.0234375
1	42	0.117188	0.117188
1	43	0.0703125	0.0703125
1	44	0.210937	0.210938
1	45	0.0703125	0.0703125
1	46	0.0703125	0.0703125
1	47	0.117187	0.117187
2	0	2.22656	2.22656
2	1	2.29687	2.29688
2	2	2.32031	2.32031
2	3	2.17969	2.17969
2	4	2.27344	2.27344
2	5	2.27344	2.27344
2	6	2.41406	2.41406
2	7	2.32031	2.32031
2	8	2.46094	2.46094
2	9	2.22656	2.22656
2	10	2.39062	2.39062
2	11	2.32031	2.32031
2	12	2.32031	2.32031
2	13	2.25	2.25
2	14	2.36719	2.36719
2	15	2.29688	2.29687
2	16	2.36719	2.36719
2	17	2.27344	2.27344
2	18	2.32031	2.32031
2	19	2.29688	2.29688
2	20	2.41406	2.41406
2	21	2.27344	2.27344
2	22	2.27344	2.27344
2	23	2.32031	2.32031
2	24	2.03906	2.03906
2	25	2.08594	2.08594
2	26	1.99219	1.99219
2	27	1.96875	1.96875
2	28	2.08594	2.08594
2	29	1.96875	1.96875
2	30	2.13281	2.13281
2	31	2.08594	2.08594
2	32	2.13281	2.13281
2	33	2.08594	2.08594
2	34	2.13281	2.13281
2	35	2.08594	2.08594
2	36	2.15625	2.15625
2	37	1.99219	1.99219
2	38	2.08594	2.08594
2	39	2.03906	2.03906
2	40	2.0625	2.0625
2	41	2.01562	2.01563
2	42	2.13281	2.13281
2	43	2.0625	2.0625
2	44	2.17969	2.17969
2	45	2.0625	2.0625
2	46	2.03906	2.03906
2	47	2.0625	2.0625
3	0	6.5625	6.5625
3	1	6.5625	6.5625
3	2	6.67969	6.67969
3	3	6.42187	6.42187
3	4	6.51563	6.51562
3	5	6.5625	6.5625
3	6	6.63281	6.63281
3	7	6.53906	6.53906
3	8	6.72656	6.72656
3	9	6.53906	6.53906
3	10	6.63281	6.63281
3	11	6.63281	6.63281
3	12	6.70312	6.70312
3	13	6.53906	6.53906
3	14	6.5625	6.5625
3	15	6.58594	6.58594
3	16	6.58594	6.58594
3	17	6.39844	6.39844
3	18	5.81649	6.54458
3	19	6.49219	6.49219
3	20	6.60937	6.60937
3	21	6.63281	6.63281
3	22	6.58594	6.58594
3	23	6.53906	6.53906
3	24	6.58594	6.58594
3	25	6.67969	6.67969
3	26	6.60937	6.60938
3	27	6.53906	6.53906
3	28	6.67969	6.67969
3	29	6.53906	6.53906
3	30	6.70312	6.70313
3	31	6.60937	6.60938
3	32	6.70312	6.70312
3	33	6.60938	6.60937
3	34	6.75	6.75
3	35	6.70313	6.70312
3	36	6.70313	6.70313
3	37	6.58594	6.58594
3	38	6.65625	6.65625
3	39	6.58594	6.58594
3	40	6.67969	6.67969
3	41	6.63281	6.63281
3	42	6.65625	6.65625
3	43	6.58594	6.58594
3	44	6.75	6.75
3	45	6.63281	6.63281
3	46	6.63281	6.63281
3	47	6.69166	6.65544
4	0	0	0
4	1	7.14844	7.14844
4	2	6.67969	6.67969
4	3	7.07812	7.07812
4	4	6.65625	6.65625
4	5	6.60938	6.60937
4	6	0	0
4	7	0	0
4	8	7.14844	7.14844
4	9	0	0
4	10	0	0
4	11	7.05469	7.05469
4	12	6.75	6.75
4	13	6.4863	6.49068
4	14	6.63281	6.63281
4	15	6.63281	6.63281
4	16	6.58594	6.58594
4	17	6.44531	6.44531
4	18	6.65625	6.65625
4	19	6.49219	6.49219
4	20	6.63281	6.63281
4	21	6.51563	6.51563
4	22	6.44531	6.44531
4	23	6.49219	6.49219
4	24	6.72656	6.72656
4	25	6.75	6.75
4	26	6.75	6.75
4	27	6.60937	6.60938
4	28	6.75	6.75
4	29	6.63281	6.63281
4	30	6.72656	6.72656
4	31	6.70313	6.70313
4	32	6.65625	6.65625
4	33	6.67969	6.67969
4	34	6.75	6.75
4	35	6.58594	6.58594
4	36	6.72656	6.72656
4	37	6.60937	6.60937
4	38	6.65625	6.65625
4	39	6.5625	6.5625
4	40	6.60938	6.60938
4	41	6.51562	6.51562
4	42	6.63281	6.63281
4	43	6.5625	6.5625
4	44	6.65625	6.65625
4	45	6.53906	6.53906
4	46	6.58594	6.58594
4	47	6.5625	6.5625
5	0	-0.0234375	-0.0234375
5	1	-0.046875	-0.046875
5	2	-0.117188	-0.117187
5	3	0.117188	0.117187
5	4	-0.0234375	-0.0234375
5	5	-0.0234375	-0.0234375
5	6	-3.56231e-13	0
5	7	-0.0234375	-0.0234375
5	8	-0.046875	-0.046875
5	9	0.0234375	0.0234375
5	10	-0.0703125	-0.0703125
5	11	0.0703125	0.0703125
5	12	-0.117187	-0.117187
5	13	0.0234375	0.0234375
5	14	-0.046875	-0.046875
5	15	0.117188	0.117188
5	16	0.0234375	0.0234375
5	17	0.117188	0.117188
5	18	-0.046875	-0.046875
5	19	5.34139e-13	1.21749e-17
5	20	-0.0234375	-0.0234375
5	21	-0.0234375	-0.0234375
5	22	-5.50605e-13	-8.35168e-18
5	23	-0.0234375	-0.0234375
5	24	-6.67204e-13	-8.52382e-18
5	25	-0.0703125	-0.0703125
5	26	-0.0703125	-0.0703125
5	27	0.09375	0.09375
5	28	-0.0234375	-0.0234375
5	29	0.0234375	0.0234375
5	30	-0.117187	-0.117188
5	31	-4.22599e-13	-1.38721e-17
5	32	-0.117187	-0.117187
5	33	-0.0234375	-0.0234375
5	34	-0.117188	-0.117187
5	35	-0.0234375	-0.0234375
5	36	-0.046875	-0.046875
5	37	0.0703125	0.0703125
5	38	0.0234375	0.0234375
5	39	0.0703125	0.0703125
5	40	-0.0703125	-0.0703125
5	41	0.0234375	0.0234375
5	42	-0.0703125	-0.0703125
5	43	-0.0234375	-0.0234375
5	44	-0.164062	-0.164063
5	45	-0.0703125	-0.0703125
5	46	4.77478e-13	-2.75717e-17
5	47	-0.046875	-0.046875
6	0	4.87171e-13	-7.12813e-17
6	1	-3.29051e-13	6.96783e-18
6	2	-0.0703125	-0.0703125
6	3	0.117187	0.117188
6	4	0.0234375	0.0234375
6	5	0.0234375	0.0234375
6	6	-0.0234375	-0.0234375
6	7	0.0703125	0.0703125
6	8	-0.0703125	-0.0703125
6	9	-0.0234375	-0.0234375
6	10	-0.0234375	-0.0234375
6	11	-0.0234375	-0.0234375
6	12	-0.0703125	-0.0703125
6	13	0.046875	0.046875
6	14	-0.0234375	-0.0234375
6	15	0.0703125	0.0703125
6	16	0.09375	0.09375
6	17	0.210937	0.210937
6	18	-0.0234375	-0.0234375
6	19	0.0703125	0.0703125
6	20	0.0234375	0.0234375
6	21	0.0234375	0.0234375
6	22	0.0703125	0.0703125
