Plane	Strip	MeanFit	Mean
==========================
0	47	0.0703125	0.0703125
0	46	0.0703125	0.0703125
0	45	-0.0234375	-0.0234375
0	44	0.140625	0.140625
0	43	0.0703125	0.0703125
0	42	-0.0234375	-0.0234375
0	41	-0.0234375	-0.0234375
0	40	10.9475	0.870028
0	39	-0.09375	-0.09375
0	38	0.140625	0.140625
0	37	0.0703125	0.0703125
0	36	-2.39021e-13	-1.82656e-17
0	35	-0.09375	-0.09375
0	34	0.09375	0.09375
0	33	-0.046875	-0.046875
0	32	-7.12154e-14	-1.31062e-17
0	31	-2.05224e-13	-0
0	30	-2.79432e-13	-2.53863e-17
0	29	1.10247e-13	2.93402e-17
0	28	0.046875	0.046875
0	27	-0.09375	-0.09375
0	26	0.046875	0.046875
0	25	0.046875	0.046875
0	24	0.046875	0.046875
0	23	-0.046875	-0.046875
0	22	-0.09375	-0.09375
0	21	-0.046875	-0.046875
0	20	0.046875	0.046875
0	19	-0.046875	-0.046875
0	18	1.34638e-14	2.22756e-17
0	17	-0.046875	-0.046875
0	16	-3.39297e-13	3.7387e-18
0	15	-5.12775e-16	1.08957e-17
0	14	0.0703125	0.0703125
0	13	-0.140625	-0.140625
0	12	0.046875	0.046875
0	11	-2.23705e-13	7.01002e-18
0	10	5.70026e-13	-6.91473e-18
0	9	-0.09375	-0.09375
0	8	0.09375	0.09375
0	7	2.55117e-13	-6.96987e-18
0	6	0.140625	0.140625
0	5	-0.0234375	-0.0234375
0	4	8.93176e-14	-3.36014e-18
0	3	-0.09375	-0.09375
0	2	-5.46764e-13	-9.66753e-18
0	1	-1.40161e-14	-3.22604e-18
0	0	-0.09375	-0.09375
1	47	-0.0234375	-0.0234375
1	46	-0.0234375	-0.0234375
1	45	0.0234375	0.0234375
1	44	0.164062	0.164062
1	43	0.0703125	0.0703125
1	42	0.210937	0.210937
1	41	0.046875	0.046875
1	40	0.0703125	0.0703125
1	39	0.09375	0.09375
1	38	-3.66058e-13	3.11825e-17
1	37	-0.117188	-0.117188
1	36	0.0703125	0.0703125
1	35	4.99802e-13	-7.78885e-18
1	34	0.0703125	0.0703125
1	33	-0.046875	-0.046875
1	32	0.117187	0.117187
1	31	0.0234375	0.0234375
1	30	0.0703125	0.0703125
1	29	0.09375	0.09375
1	28	0.09375	0.09375
1	27	-0.0703125	-0.0703125
1	26	0.046875	0.046875
1	25	0.0703125	0.0703125
1	24	-3.68464e-13	-2.76361e-17
1	23	-0.046875	-0.046875
1	22	-0.046875	-0.046875
1	21	-0.0703125	-0.0703125
1	20	0.140625	0.140625
1	19	-0.0234375	-0.0234375
1	18	1.04595e-14	1.65585e-17
1	17	-0.0703125	-0.0703125
1	16	8.64828e-13	-3.2483e-18
1	15	-0.09375	-0.09375
1	14	0.0234375	0.0234375
1	13	-0.0703125	-0.0703125
1	12	4.69472e-13	-2.44415e-17
1	11	-0.0703125	-0.0703125
1	10	0.09375	0.09375
1	9	0.0703125	0.0703125
1	8	0.0703125	0.0703125
1	7	-9.56848e-14	3.00306e-18
1	6	0.0703125	0.0703125
1	5	-0.0703125	-0.0703125
1	4	-0.0234375	-0.0234375
1	3	-0.09375	-0.09375
1	2	-0.0234375	-0.0234375
1	1	0.0234375	0.0234375
1	0	0.0703125	0.0703125
2	47	2.08594	2.08594
2	46	2.08594	2.08594
2	45	2.13281	2.13281
2	44	2.20312	2.20313
2	43	2.13281	2.13281
2	42	2.25	2.25
2	41	2.08594	2.08594
2	40	2.15625	2.15625
2	39	2.17969	2.17969
2	38	2.15625	2.15625
2	37	2.03906	2.03906
2	36	2.22656	2.22656
2	35	2.15625	2.15625
2	34	2.25	2.25
2	33	2.13281	2.13281
2	32	2.27344	2.27344
2	31	2.10937	2.10938
2	30	2.25	2.25
2	29	2.10937	2.10937
2	28	2.10937	2.10938
2	27	2.01562	2.01562
2	26	2.13281	2.13281
2	25	2.13281	2.13281
2	24	2.08594	2.08594
2	23	2.27344	2.27344
2	22	2.25	2.25
2	21	2.17969	2.17969
2	20	2.34375	2.34375
2	19	2.27344	2.27344
2	18	2.27344	2.27344
2	17	2.25	2.25
2	16	2.29687	2.29688
2	15	2.20313	2.20312
2	14	2.29688	2.29687
2	13	2.25	2.25
2	12	2.27344	2.27344
2	11	2.20313	2.20313
2	10	2.22656	2.22656
2	9	2.13281	2.13281
2	8	2.25	2.25
2	7	2.20312	2.20312
2	6	2.20313	2.20312
2	5	2.17969	2.17969
2	4	2.17969	2.17969
2	3	2.10937	2.10938
2	2	2.22656	2.22656
2	1	2.20313	2.20312
2	0	2.13281	2.13281
3	47	6.375	6.375
3	46	6.39844	6.39844
3	45	6.42188	6.42188
3	44	6.49219	6.49219
3	43	6.375	6.375
3	42	6.46875	6.46875
3	41	6.375	6.375
3	40	6.44531	6.44531
3	39	6.42188	6.42187
3	38	6.46875	6.46875
3	37	6.42187	6.42188
3	36	6.51562	6.51562
3	35	6.375	6.375
3	34	6.5625	6.5625
3	33	6.42187	6.42187
3	32	6.46875	6.46875
3	31	6.44531	6.44531
3	30	6.49219	6.49219
3	29	6.42188	6.42187
3	28	6.49219	6.49219
3	27	6.32813	6.32813
3	26	6.46875	6.46875
3	25	6.42187	6.42188
3	24	6.42187	6.42187
3	23	6.58594	6.58594
3	22	6.60937	6.60938
3	21	6.5625	6.5625
3	20	6.65625	6.65625
3	19	6.63281	6.63281
3	18	6.58594	6.58594
3	17	6.58594	6.58594
3	16	6.58594	6.58594
3	15	6.53906	6.53906
3	14	6.65625	6.65625
3	13	6.5625	6.5625
3	12	6.65625	6.65625
3	11	6.46875	6.46875
3	10	6.65625	6.65625
3	9	6.5625	6.5625
3	8	6.65625	6.65625
3	7	6.5625	6.5625
3	6	6.60937	6.60937
3	5	6.46875	6.46875
3	4	6.60937	6.60938
3	3	6.51562	6.51562
3	2	6.5625	6.5625
3	1	6.58594	6.58594
3	0	6.60937	6.60937
4	47	6.65625	6.65625
4	46	6.60937	6.60937
4	45	6.58594	6.58594
4	44	6.72656	6.72656
4	43	6.58594	6.58594
4	42	6.63281	6.63281
4	41	6.58594	6.58594
4	40	6.67969	6.67969
4	39	6.53906	6.53906
4	38	6.67969	6.67969
4	37	6.63281	6.63281
4	36	6.67969	6.67969
4	35	6.58594	6.58594
4	34	6.72656	6.72656
4	33	6.60937	6.60938
4	32	6.63281	6.63281
4	31	6.67969	6.67969
4	30	6.70312	6.70312
4	29	6.58594	6.58594
4	28	6.67969	6.67969
4	27	6.58594	6.58594
4	26	6.72656	6.72656
4	25	6.70312	6.70313
4	24	6.72656	6.72656
4	23	6.39844	6.39844
4	22	6.39844	6.39844
4	21	6.39844	6.39844
4	20	6.53906	6.53906
4	19	6.39844	6.39844
4	18	6.53906	6.53906
4	17	6.39844	6.39844
4	16	6.44531	6.44531
4	15	6.44531	6.44531
4	14	6.53906	6.53906
4	13	6.39844	6.39844
4	12	6.58594	6.58594
4	11	6.39844	6.39844
4	10	6.53906	6.53906
4	9	6.39844	6.39844
4	8	6.53906	6.53906
4	7	6.35156	6.35156
4	6	6.39844	6.39844
4	5	6.39844	6.39844
4	4	6.35156	6.35156
4	3	6.30469	6.30469
4	2	6.42187	6.42187
4	1	6.42187	6.42188
4	0	6.375	6.375
5	47	0.0234375	0.0234375
5	46	0.117188	0.117188
5	45	0.09375	0.09375
5	44	8.56865e-13	1.84511e-17
5	43	0.09375	0.09375
5	42	0.0703125	0.0703125
5	41	0.1875	0.1875
5	40	0.09375	0.09375
5	39	0.234375	0.234375
5	38	0.09375	0.09375
5	37	0.140625	0.140625
5	36	0.046875	0.046875
5	35	0.140625	0.140625
5	34	0.046875	0.046875
5	33	0.140625	0.140625
5	32	0.046875	0.046875
5	31	0.1875	0.1875
5	30	0.140625	0.140625
5	29	0.234375	0.234375
5	28	0.1875	0.1875
5	27	0.234375	0.234375
5	26	0.117187	0.117188
5	25	0.09375	0.09375
5	24	0.140625	0.140625
5	23	0.09375	0.09375
5	22	0.140625	0.140625
5	21	0.046875	0.046875
5	20	0.09375	0.09375
5	19	0.09375	0.09375
5	18	0.046875	0.046875
5	17	0.1875	0.1875
5	16	0.1875	0.1875
5	15	0.1875	0.1875
5	14	0.09375	0.09375
5	13	0.140625	0.140625
5	12	0.046875	0.046875
5	11	0.09375	0.09375
5	10	4.52827e-13	-0
5	9	0.09375	0.09375
5	8	0.09375	0.09375
5	7	0.1875	0.1875
5	6	0.09375	0.09375
5	5	0.140625	0.140625
5	4	0.140625	0.140625
5	3	0.234375	0.234375
5	2	0.046875	0.046875
5	1	0.0234375	0.0234375
5	0	0.046875	0.046875
6	47	-0.0234375	-0.0234375
6	46	0.046875	0.046875
6	45	0.0234375	0.0234375
6	44	-0.140625	-0.140625
6	43	1.98901e-13	-1.84535e-17
6	42	-4.05272e-13	-2.57046e-17
6	41	3.80893e-13	-0
6	40	-0.0703125	-0.0703125
6	39	0.09375	0.09375
6	38	-0.0234375	-0.0234375
6	37	0.09375	0.09375
6	36	0.046875	0.046875
6	35	0.117188	0.117188
6	34	0.046875	0.046875
6	33	0.09375	0.09375
6	32	-0.046875	-0.046875
6	31	-0.0234375	-0.0234375
6	30	-0.09375	-0.09375
6	29	0.140625	0.140625
6	28	0.046875	0.046875
6	27	0.09375	0.09375
6	26	0.09375	0.09375
6	25	0.046875	0.046875
6	24	0.09375	0.09375
6	23	0.140625	0.140625
6	22	0.234375	0.234375
6	21	0.140625	0.140625
6	20	4.6954e-13	-3.89022e-18
6	19	0.234375	0.234375
6	18	0.046875	0.046875
