Plane	Strip	MeanFit	Mean
==========================
0	0	-0.234375	-0.234375
0	1	-0.234375	-0.234375
0	2	-0.28125	-0.28125
0	3	-0.375	-0.375
0	4	-0.28125	-0.28125
0	5	-0.375	-0.375
0	6	-0.234375	-0.234375
0	7	-0.304687	-0.304688
0	8	-0.375	-0.375
0	9	-0.28125	-0.28125
0	10	-0.164062	-0.164062
0	11	-0.421875	-0.421875
0	12	-0.328125	-0.328125
0	13	-0.421875	-0.421875
0	14	-0.304687	-0.304688
0	15	-0.46875	-0.46875
0	16	-0.421875	-0.421875
0	17	-0.515625	-0.515625
0	18	-0.375	-0.375
0	19	-0.421875	-0.421875
0	20	-0.351562	-0.351562
0	21	-0.375	-0.375
0	22	-0.398438	-0.398438
0	23	-0.375	-0.375
0	24	-0.046875	-0.046875
0	25	-0.046875	-0.046875
0	26	-0.140625	-0.140625
0	27	-0.112707	-0.116044
0	28	-0.046875	-0.046875
0	29	-0.1875	-0.1875
0	30	4.52184e-13	4.52184e-13
0	31	-0.046875	-0.046875
0	32	-0.046875	-0.046875
0	33	6.11892e-15	6.11892e-15
0	34	0.117188	0.117188
0	35	-0.140625	-0.140625
0	36	-0.09375	-0.09375
0	37	-0.09375	-0.09375
0	38	-5.18764e-13	-5.18764e-13
0	39	-0.1875	-0.1875
0	40	-5.67058e-13	-5.67058e-13
0	41	9.17477e-13	9.17477e-13
0	42	-2.67962e-13	-2.67962e-13
0	43	0.09375	0.09375
0	44	0.140625	0.140625
0	45	-0.046875	-0.046875
0	46	0.0234375	0.0234375
0	47	-0.046875	-0.046875
1	0	0	0
1	1	0	0
1	2	0	0
1	3	0	0
1	4	0	0
1	5	0	0
1	6	0	0
1	7	0	0
1	8	0	0
1	9	0	0
1	10	0	0
1	11	0	0
1	12	0	0
1	13	0	0
1	14	0	0
1	15	0	0
1	16	0	0
1	17	0	0
1	18	0	0
1	19	0	0
1	20	0	0
1	21	0	0
1	22	0	0
1	23	0	0
1	24	0	0
1	25	0	0
1	26	0	0
1	27	0	0
1	28	0	0
1	29	0	0
1	30	0	0
1	31	0	0
1	32	0	0
1	33	0	0
1	34	0	0
1	35	0	0
1	36	0	0
1	37	0	0
1	38	0	0
1	39	0	0
