Common shift
0
Plane	Strip	Correction
0	0	21.782
0	1	21.782
0	2	21.782
0	3	21.782
0	4	21.782
0	5	21.782
0	6	21.782
0	7	21.782
0	8	21.782
0	9	21.782
0	10	21.782
0	11	21.782
0	12	21.782
0	13	21.782
0	14	21.782
0	15	21.782
0	16	21.782
0	17	21.782
0	18	21.782
0	19	21.782
0	20	21.782
0	21	21.782
0	22	21.782
0	23	21.782
0	24	21.782
0	25	21.782
0	26	21.782
0	27	21.782
0	28	21.782
0	29	21.782
0	30	21.782
0	31	21.782
0	32	21.782
0	33	21.782
0	34	21.782
0	35	21.782
0	36	21.782
0	37	21.782
0	38	21.782
0	39	21.782
0	40	21.782
0	41	21.782
0	42	21.782
0	43	21.782
0	44	21.782
0	45	21.782
0	46	21.782
0	47	21.782
1	0	21.782
1	1	21.782
1	2	21.782
1	3	21.782
1	4	21.782
1	5	21.782
1	6	21.782
1	7	21.782
1	8	21.782
1	9	21.782
1	10	21.782
1	11	21.782
1	12	21.782
1	13	21.782
1	14	21.782
1	15	21.782
1	16	21.782
1	17	21.782
1	18	21.782
1	19	21.782
1	20	21.782
1	21	21.782
1	22	21.782
1	23	21.782
1	24	21.782
1	25	21.782
1	26	21.782
1	27	21.782
1	28	21.782
1	29	21.782
1	30	21.782
1	31	21.782
1	32	21.782
1	33	21.782
1	34	21.782
1	35	21.782
1	36	21.782
1	37	21.782
1	38	21.782
1	39	21.782
1	40	21.782
1	41	21.782
1	42	21.782
1	43	21.782
1	44	21.782
1	45	21.782
1	46	21.782
1	47	21.782
2	0	21.782
2	1	21.782
2	2	21.782
2	3	21.782
2	4	21.782
2	5	21.782
2	6	21.782
2	7	21.782
2	8	21.782
2	9	21.782
2	10	21.782
2	11	21.782
2	12	21.782
2	13	21.782
2	14	21.782
2	15	21.782
2	16	21.782
2	17	21.782
2	18	21.782
2	19	21.782
2	20	21.782
2	21	21.782
2	22	21.782
2	23	21.782
2	24	21.782
2	25	21.782
2	26	21.782
2	27	21.782
2	28	21.782
2	29	21.782
2	30	21.782
2	31	21.782
2	32	21.782
2	33	21.782
2	34	21.782
2	35	21.782
2	36	21.782
2	37	21.782
2	38	21.782
2	39	21.782
2	40	21.782
2	41	21.782
2	42	21.782
2	43	21.782
2	44	21.782
2	45	21.782
2	46	21.782
2	47	21.782
3	0	21.782
3	1	21.782
3	2	21.782
3	3	21.782
3	4	21.782
3	5	21.782
3	6	21.782
3	7	21.782
3	8	21.782
3	9	21.782
3	10	21.782
3	11	21.782
3	12	21.782
3	13	21.782
3	14	21.782
3	15	21.782
3	16	21.782
3	17	21.782
3	18	21.782
3	19	21.782
3	20	21.782
3	21	21.782
3	22	21.782
3	23	21.782
3	24	21.782
3	25	21.782
3	26	21.782
3	27	21.782
3	28	21.782
3	29	21.782
3	30	21.782
3	31	21.782
3	32	21.782
3	33	21.782
3	34	21.782
3	35	21.782
3	36	21.782
3	37	21.782
3	38	21.782
3	39	21.782
3	40	21.782
3	41	21.782
3	42	21.782
3	43	21.782
3	44	21.782
3	45	21.782
3	46	21.782
3	47	21.782
4	0	21.782
4	1	21.782
4	2	21.782
4	3	21.782
4	4	21.782
4	5	21.782
4	6	21.782
4	7	21.782
4	8	21.782
4	9	21.782
4	10	21.782
4	11	21.782
4	12	21.782
4	13	21.782
4	14	21.782
4	15	21.782
4	16	21.782
4	17	21.782
4	18	21.782
4	19	21.782
4	20	21.782
4	21	21.782
4	22	21.782
4	23	21.782
4	24	21.782
4	25	21.782
4	26	21.782
4	27	21.782
4	28	21.782
4	29	21.782
4	30	21.782
4	31	21.782
4	32	21.782
4	33	21.782
4	34	21.782
4	35	21.782
4	36	21.782
4	37	21.782
4	38	21.782
4	39	21.782
4	40	21.782
4	41	21.782
4	42	21.782
4	43	21.782
4	44	21.782
4	45	21.782
4	46	21.782
4	47	21.782
5	0	21.782
5	1	21.782
5	2	21.782
5	3	21.782
5	4	21.782
5	5	21.782
5	6	21.782
5	7	21.782
5	8	21.782
5	9	21.782
5	10	21.782
5	11	21.782
5	12	21.782
5	13	21.782
5	14	21.782
5	15	21.782
5	16	21.782
5	17	21.782
5	18	21.782
5	19	21.782
5	20	21.782
5	21	21.782
5	22	21.782
5	23	21.782
5	24	21.782
5	25	21.782
5	26	21.782
5	27	21.782
5	28	21.782
5	29	21.782
5	30	21.782
5	31	21.782
5	32	21.782
5	33	21.782
5	34	21.782
5	35	21.782
5	36	21.782
5	37	21.782
5	38	21.782
5	39	21.782
5	40	21.782
5	41	21.782
5	42	21.782
5	43	21.782
5	44	21.782
5	45	21.782
5	46	21.782
5	47	21.782
6	0	21.782
6	1	21.782
6	2	21.782
6	3	21.782
6	4	21.782
6	5	21.782
6	6	21.782
6	7	21.782
6	8	21.782
6	9	21.782
6	10	21.782
6	11	21.782
6	12	21.782
6	13	21.782
6	14	21.782
6	15	21.782
6	16	21.782
6	17	21.782
6	18	21.782
6	19	21.782
6	20	21.782
6	21	21.782
6	22	21.782
6	23	21.782
6	24	21.782
6	25	21.782
6	26	21.782
6	27	21.782
6	28	21.782
6	29	21.782
6	30	21.782
6	31	21.782
6	32	21.782
6	33	21.782
6	34	21.782
6	35	21.782
6	36	21.782
6	37	21.782
6	38	21.782
6	39	21.782
6	40	21.782
6	41	21.782
6	42	21.782
6	43	21.782
6	44	21.782
6	45	21.782
6	46	21.782
6	47	21.782
7	0	21.782
7	1	21.782
7	2	21.782
7	3	21.782
7	4	21.782
7	5	21.782
7	6	21.782
7	7	21.782
7	8	21.782
7	9	21.782
7	10	21.782
7	11	21.782
7	12	21.782
7	13	21.782
7	14	21.782
7	15	21.782
