Common TimeShift, ns
270
Plane	 Strip	 TimeShift, ns
0 0 15
0 1 15
0 2 15
0 3 15
0 4 15
0 5 15
0 6 15
0 7 15
0 8 15
0 9 15
0 10 15
0 11 15
0 12 15
0 13 15
0 14 15
0 15 15
0 16 15
0 17 15
0 18 15
0 19 15
0 20 15
0 21 15
0 22 15
0 23 15
0 24 15
0 25 15
0 26 15
0 27 15
0 28 15
0 29 15
0 30 15
0 31 15
0 32 15
0 33 15
0 34 15
0 35 15
0 36 15
0 37 15
0 38 15
0 39 15
0 40 15
0 41 15
0 42 15
0 43 15
0 44 15
0 45 15
0 46 15
0 47 15
1 0 15
1 1 15
1 2 15
1 3 15
1 4 15
1 5 15
1 6 15
1 7 15
1 8 15
1 9 15
1 10 15
1 11 15
1 12 15
1 13 15
1 14 15
1 15 15
1 16 15
1 17 15
1 18 15
1 19 15
1 20 15
1 21 15
1 22 15
1 23 15
1 24 15
1 25 15
1 26 15
1 27 15
1 28 15
1 29 15
1 30 15
1 31 15
1 32 15
1 33 15
1 34 15
1 35 15
1 36 15
1 37 15
1 38 15
1 39 15
1 40 15
1 41 15
1 42 15
1 43 15
1 44 15
1 45 15
1 46 15
1 47 15
2 0 15
2 1 15
2 2 15
2 3 15
2 4 15
2 5 15
2 6 15
2 7 15
2 8 15
2 9 15
2 10 15
2 11 15
2 12 15
2 13 15
2 14 15
2 15 15
2 16 15
2 17 15
2 18 15
2 19 15
2 20 15
2 21 15
2 22 15
2 23 15
2 24 15
2 25 15
2 26 15
2 27 15
2 28 15
2 29 15
2 30 15
2 31 15
2 32 15
2 33 15
2 34 15
2 35 15
2 36 15
2 37 15
2 38 15
2 39 15
2 40 15
2 41 15
2 42 15
2 43 15
2 44 15
2 45 15
2 46 15
2 47 15
3 0 15
3 1 15
3 2 15
3 3 15
3 4 15
3 5 15
3 6 15
3 7 15
3 8 15
3 9 15
3 10 15
3 11 15
3 12 15
3 13 15
3 14 15
3 15 15
3 16 15
3 17 15
3 18 15
3 19 15
3 20 15
3 21 15
3 22 15
3 23 15
3 24 15
3 25 15
3 26 15
3 27 15
3 28 15
3 29 15
3 30 15
3 31 15
3 32 15
3 33 15
3 34 15
3 35 15
3 36 15
3 37 15
3 38 15
3 39 15
3 40 15
3 41 15
3 42 15
3 43 15
3 44 15
3 45 15
3 46 15
3 47 15
4 0 15
4 1 15
4 2 15
4 3 15
4 4 15
4 5 15
4 6 15
4 7 15
4 8 15
4 9 15
4 10 15
4 11 15
4 12 15
4 13 15
4 14 15
4 15 15
4 16 15
4 17 15
4 18 15
4 19 15
4 20 15
4 21 15
4 22 15
4 23 15
4 24 15
4 25 15
4 26 15
4 27 15
4 28 15
4 29 15
4 30 15
4 31 15
4 32 15
4 33 15
4 34 15
4 35 15
4 36 15
4 37 15
4 38 15
4 39 15
4 40 15
4 41 15
4 42 15
4 43 15
4 44 15
4 45 15
4 46 15
4 47 15
5 0 15
5 1 15
5 2 15
5 3 15
5 4 15
5 5 15
5 6 15
5 7 15
5 8 15
5 9 15
5 10 15
5 11 15
5 12 15
5 13 15
5 14 15
5 15 15
5 16 15
5 17 15
5 18 15
5 19 15
5 20 15
5 21 15
5 22 15
5 23 15
5 24 15
5 25 15
5 26 15
5 27 15
5 28 15
5 29 15
5 30 15
5 31 15
5 32 15
5 33 15
5 34 15
5 35 15
5 36 15
5 37 15
5 38 15
5 39 15
5 40 15
5 41 15
5 42 15
5 43 15
5 44 15
5 45 15
5 46 15
5 47 15
6 0 15
6 1 15
6 2 15
6 3 15
6 4 15
6 5 15
6 6 15
6 7 15
6 8 15
6 9 15
6 10 15
6 11 15
6 12 15
6 13 15
6 14 15
6 15 15
6 16 15
6 17 15
6 18 15
6 19 15
6 20 15
6 21 15
6 22 15
6 23 15
6 24 15
6 25 15
6 26 15
6 27 15
6 28 15
6 29 15
6 30 15
6 31 15
6 32 15
6 33 15
6 34 15
6 35 15
6 36 15
6 37 15
6 38 15
6 39 15
6 40 15
6 41 15
6 42 15
6 43 15
6 44 15
6 45 15
6 46 15
6 47 15
7 0 15
7 1 15
7 2 15
7 3 15
7 4 15
7 5 15
7 6 15
7 7 15
7 8 15
7 9 15
7 10 15
7 11 15
7 12 15
7 13 15
7 14 15
7 15 15
7 16 15
7 17 15
7 18 15
7 19 15
7 20 15
7 21 15
7 22 15
7 23 15
7 24 15
7 25 15
7 26 15
7 27 15
7 28 15
7 29 15
7 30 15
7 31 15
7 32 15
7 33 15
7 34 15
7 35 15
7 36 15
7 37 15
7 38 15
7 39 15
7 40 15
7 41 15
7 42 15
7 43 15
7 44 15
7 45 15
7 46 15
7 47 15
8 0 15
8 1 15
8 2 15
8 3 15
8 4 15
8 5 15
8 6 15
8 7 15
8 8 15
8 9 15
8 10 15
8 11 15
8 12 15
8 13 15
8 14 15
8 15 15
8 16 15
8 17 15
8 18 15
8 19 15
8 20 15
8 21 15
8 22 15
8 23 15
8 24 15
8 25 15
8 26 15
8 27 15
8 28 15
8 29 15
8 30 15
8 31 15
8 32 15
8 33 15
8 34 15
8 35 15
8 36 15
8 37 15
8 38 15
8 39 15
8 40 15
8 41 15
8 42 15
8 43 15
8 44 15
8 45 15
8 46 15
8 47 15
9 0 15
9 1 15
9 2 15
9 3 15
9 4 15
9 5 15
9 6 15
9 7 15
9 8 15
9 9 15
9 10 15
9 11 15
9 12 15
9 13 15
9 14 15
9 15 15
9 16 15
9 17 15
9 18 15
9 19 15
9 20 15
9 21 15
9 22 15
9 23 15
9 24 15
9 25 15
9 26 15
9 27 15
9 28 15
9 29 15
9 30 15
9 31 15
9 32 15
9 33 15
9 34 15
9 35 15
9 36 15
9 37 15
9 38 15
9 39 15
9 40 15
9 41 15
9 42 15
9 43 15
9 44 15
9 45 15
9 46 15
9 47 15
10 0 15
10 1 15
10 2 15
10 3 15
10 4 15
10 5 15
10 6 15
10 7 15
10 8 15
10 9 15
10 10 15
10 11 15
10 12 15
10 13 15
10 14 15
10 15 15
10 16 15
10 17 15
10 18 15
10 19 15
10 20 15
10 21 15
10 22 15
10 23 15
10 24 15
10 25 15
10 26 15
10 27 15
10 28 15
10 29 15
10 30 15
10 31 15
10 32 15
10 33 15
10 34 15
10 35 15
10 36 15
10 37 15
10 38 15
10 39 15
10 40 15
10 41 15
10 42 15
10 43 15
10 44 15
10 45 15
10 46 15
10 47 15
11 0 15
11 1 15
11 2 15
11 3 15
11 4 15
11 5 15
11 6 15
11 7 15
11 8 15
11 9 15
11 10 15
11 11 15
11 12 15
11 13 15
11 14 15
11 15 15
11 16 15
11 17 15
11 18 15
11 19 15
11 20 15
11 21 15
11 22 15
11 23 15
11 24 15
11 25 15
11 26 15
11 27 15
11 28 15
11 29 15
11 30 15
11 31 15
11 32 15
11 33 15
11 34 15
11 35 15
11 36 15
11 37 15
11 38 15
11 39 15
11 40 15
11 41 15
11 42 15
11 43 15
11 44 15
11 45 15
11 46 15
11 47 15
12 0 15
12 1 15
12 2 15
12 3 15
12 4 15
12 5 15
12 6 15
12 7 15
12 8 15
12 9 15
12 10 15
12 11 15
12 12 15
12 13 15
12 14 15
12 15 15
12 16 15
12 17 15
12 18 15
12 19 15
12 20 15
12 21 15
12 22 15
12 23 15
12 24 15
12 25 15
12 26 15
12 27 15
12 28 15
12 29 15
12 30 15
12 31 15
12 32 15
12 33 15
12 34 15
12 35 15
12 36 15
12 37 15
12 38 15
12 39 15
12 40 15
12 41 15
12 42 15
12 43 15
12 44 15
12 45 15
12 46 15
12 47 15
13 0 15
13 1 15
13 2 15
13 3 15
13 4 15
13 5 15
13 6 15
13 7 15
13 8 15
13 9 15
13 10 15
13 11 15
13 12 15
13 13 15
13 14 15
13 15 15
13 16 15
13 17 15
13 18 15
13 19 15
13 20 15
13 21 15
13 22 15
13 23 15
13 24 15
13 25 15
13 26 15
13 27 15
13 28 15
13 29 15
13 30 15
13 31 15
13 32 15
13 33 15
13 34 15
13 35 15
13 36 15
13 37 15
13 38 15
13 39 15
13 40 15
13 41 15
13 42 15
13 43 15
13 44 15
13 45 15
13 46 15
13 47 15
14 0 15
14 1 15
14 2 15
14 3 15
14 4 15
14 5 15
14 6 15
14 7 15
14 8 15
14 9 15
14 10 15
14 11 15
14 12 15
14 13 15
14 14 15
14 15 15
14 16 15
14 17 15
14 18 15
14 19 15
14 20 15
14 21 15
14 22 15
14 23 15
14 24 15
14 25 15
14 26 15
14 27 15
14 28 15
14 29 15
14 30 15
14 31 15
14 32 15
14 33 15
14 34 15
14 35 15
14 36 15
14 37 15
14 38 15
14 39 15
14 40 15
14 41 15
14 42 15
14 43 15
14 44 15
14 45 15
14 46 15
14 47 15
15 0 15
15 1 15
15 2 15
15 3 15
15 4 15
15 5 15
15 6 15
15 7 15
15 8 15
15 9 15
15 10 15
15 11 15
15 12 15
15 13 15
15 14 15
15 15 15
15 16 15
15 17 15
15 18 15
15 19 15
15 20 15
15 21 15
15 22 15
15 23 15
15 24 15
15 25 15
15 26 15
15 27 15
15 28 15
15 29 15
15 30 15
15 31 15
15 32 15
15 33 15
15 34 15
15 35 15
15 36 15
15 37 15
15 38 15
15 39 15
15 40 15
15 41 15
15 42 15
15 43 15
15 44 15
15 45 15
15 46 15
15 47 15
16 0 15
16 1 15
16 2 15
16 3 15
16 4 15
16 5 15
16 6 15
16 7 15
16 8 15
16 9 15
16 10 15
16 11 15
16 12 15
16 13 15
16 14 15
16 15 15
16 16 15
16 17 15
16 18 15
16 19 15
16 20 15
16 21 15
16 22 15
16 23 15
16 24 15
16 25 15
16 26 15
16 27 15
16 28 15
16 29 15
16 30 15
16 31 15
16 32 15
16 33 15
16 34 15
16 35 15
16 36 15
16 37 15
16 38 15
16 39 15
16 40 15
16 41 15
16 42 15
16 43 15
16 44 15
16 45 15
16 46 15
16 47 15
17 0 15
17 1 15
17 2 15
17 3 15
17 4 15
17 5 15
17 6 15
17 7 15
17 8 15
17 9 15
17 10 15
17 11 15
17 12 15
17 13 15
17 14 15
17 15 15
17 16 15
17 17 15
17 18 15
17 19 15
17 20 15
17 21 15
17 22 15
17 23 15
17 24 15
17 25 15
17 26 15
17 27 15
17 28 15
17 29 15
17 30 15
17 31 15
17 32 15
17 33 15
17 34 15
17 35 15
17 36 15
17 37 15
17 38 15
17 39 15
17 40 15
17 41 15
17 42 15
17 43 15
17 44 15
17 45 15
17 46 15
17 47 15
18 0 15
18 1 15
18 2 15
18 3 15
18 4 15
18 5 15
18 6 15
18 7 15
18 8 15
18 9 15
18 10 15
18 11 15
18 12 15
18 13 15
18 14 15
18 15 15
18 16 15
18 17 15
18 18 15
18 19 15
18 20 15
18 21 15
18 22 15
18 23 15
18 24 15
18 25 15
18 26 15
18 27 15
18 28 15
18 29 15
18 30 15
18 31 15
18 32 15
18 33 15
18 34 15
18 35 15
18 36 15
18 37 15
18 38 15
18 39 15
18 40 15
18 41 15
18 42 15
18 43 15
18 44 15
18 45 15
18 46 15
18 47 15
19 0 15
19 1 15
19 2 15
19 3 15
19 4 15
19 5 15
19 6 15
19 7 15
19 8 15
19 9 15
19 10 15
19 11 15
19 12 15
19 13 15
19 14 15
19 15 15
19 16 15
19 17 15
19 18 15
19 19 15
19 20 15
19 21 15
19 22 15
19 23 15
19 24 15
19 25 15
19 26 15
19 27 15
19 28 15
19 29 15
19 30 15
19 31 15
19 32 15
19 33 15
19 34 15
19 35 15
19 36 15
19 37 15
19 38 15
19 39 15
19 40 15
19 41 15
19 42 15
19 43 15
19 44 15
19 45 15
19 46 15
19 47 15
