Common TimeShift, ns
0
Plane	 Strip	 TimeShift, ns
0 0 15.6762
0 1 15.6921
0 2 15.708
0 3 15.7241
0 4 15.7402
0 5 15.7564
0 6 15.7727
0 7 15.7891
0 8 15.8056
0 9 15.8222
0 10 15.8389
0 11 15.8557
0 12 15.8725
0 13 15.8895
0 14 15.9065
0 15 15.9237
0 16 15.9409
0 17 15.9582
0 18 15.9757
0 19 15.9932
0 20 16.0108
0 21 16.0284
0 22 16.0462
0 23 16.0641
0 24 16.082
0 25 16.1
0 26 16.1182
0 27 16.1364
0 28 16.1547
0 29 16.1731
0 30 16.1915
0 31 16.2101
0 32 16.2287
0 33 16.2475
0 34 16.2663
0 35 16.2852
0 36 16.3042
0 37 16.3232
0 38 16.3424
0 39 16.3616
0 40 16.3809
0 41 16.4003
0 42 16.4198
0 43 16.4394
0 44 16.459
0 45 16.4788
0 46 16.4986
0 47 16.5185
1 0 15.7184
1 1 15.7342
1 2 15.7501
1 3 15.766
1 4 15.7821
1 5 15.7983
1 6 15.8146
1 7 15.8309
1 8 15.8474
1 9 15.8639
1 10 15.8806
1 11 15.8973
1 12 15.9141
1 13 15.931
1 14 15.9481
1 15 15.9652
1 16 15.9823
1 17 15.9996
1 18 16.017
1 19 16.0344
1 20 16.052
1 21 16.0696
1 22 16.0874
1 23 16.1052
1 24 16.1231
1 25 16.1411
1 26 16.1591
1 27 16.1773
1 28 16.1955
1 29 16.2139
1 30 16.2323
1 31 16.2508
1 32 16.2694
1 33 16.2881
1 34 16.3069
1 35 16.3257
1 36 16.3446
1 37 16.3637
1 38 16.3828
1 39 16.402
1 40 16.4212
1 41 16.4406
1 42 16.46
1 43 16.4795
1 44 16.4991
1 45 16.5188
1 46 16.5386
1 47 16.5584
2 0 15.5744
2 1 15.5904
2 2 15.6064
2 3 15.6226
2 4 15.6388
2 5 15.6551
2 6 15.6715
2 7 15.688
2 8 15.7046
2 9 15.7213
2 10 15.7381
2 11 15.755
2 12 15.772
2 13 15.7891
2 14 15.8062
2 15 15.8235
2 16 15.8408
2 17 15.8582
2 18 15.8758
2 19 15.8934
2 20 15.9111
2 21 15.9289
2 22 15.9468
2 23 15.9647
2 24 15.9828
2 25 16.0009
2 26 16.0192
2 27 16.0375
2 28 16.0559
2 29 16.0744
2 30 16.093
2 31 16.1116
2 32 16.1304
2 33 16.1492
2 34 16.1682
2 35 16.1872
2 36 16.2063
2 37 16.2255
2 38 16.2447
2 39 16.2641
2 40 16.2835
2 41 16.303
2 42 16.3226
2 43 16.3423
2 44 16.3621
2 45 16.3819
2 46 16.4019
2 47 16.4219
3 0 15.7204
3 1 15.7362
3 2 15.752
3 3 15.768
3 4 15.7841
3 5 15.8003
3 6 15.8166
3 7 15.8329
3 8 15.8494
3 9 15.8659
3 10 15.8826
3 11 15.8993
3 12 15.9161
3 13 15.933
3 14 15.95
3 15 15.9671
3 16 15.9843
3 17 16.0016
3 18 16.0189
3 19 16.0364
3 20 16.0539
3 21 16.0716
3 22 16.0893
3 23 16.1071
3 24 16.125
3 25 16.143
3 26 16.1611
3 27 16.1792
3 28 16.1975
3 29 16.2158
3 30 16.2342
3 31 16.2527
3 32 16.2713
3 33 16.29
3 34 16.3088
3 35 16.3276
3 36 16.3466
3 37 16.3656
3 38 16.3847
3 39 16.4039
3 40 16.4231
3 41 16.4425
3 42 16.4619
3 43 16.4814
3 44 16.501
3 45 16.5207
3 46 16.5405
3 47 16.5603
4 0 15.6802
4 1 15.6961
4 2 15.712
4 3 15.728
4 4 15.7442
