Common TimeShift, ns
-175
Plane	 Strip	 TimeShift, ns
0 0 8.58924
0 1 8.58907
0 2 8.58909
0 3 8.58932
0 4 8.58975
0 5 8.59038
0 6 8.59122
0 7 8.59225
0 8 8.59349
0 9 8.59493
0 10 8.59658
0 11 8.59842
0 12 8.60047
0 13 8.60272
0 14 8.60517
0 15 8.60782
0 16 8.61067
0 17 8.61372
0 18 8.61698
0 19 8.62043
0 20 8.62409
0 21 8.62794
0 22 8.632
0 23 8.63625
0 24 8.6407
0 25 8.64535
0 26 8.6502
0 27 8.65525
0 28 8.6605
0 29 8.66594
0 30 8.67158
0 31 8.67742
0 32 8.68345
0 33 8.68968
0 34 8.69611
0 35 8.70272
0 36 8.70954
0 37 8.71655
0 38 8.72375
0 39 8.73115
0 40 8.73873
0 41 8.74651
0 42 8.75448
0 43 8.76265
0 44 8.771
0 45 8.77955
0 46 8.78828
0 47 8.7972
1 0 8.31158
1 1 8.3114
1 2 8.31142
1 3 8.31166
1 4 8.3121
1 5 8.31276
1 6 8.31362
1 7 8.31469
1 8 8.31597
1 9 8.31746
1 10 8.31916
1 11 8.32106
1 12 8.32318
1 13 8.3255
1 14 8.32803
1 15 8.33077
1 16 8.33372
1 17 8.33687
1 18 8.34024
1 19 8.34381
1 20 8.34758
1 21 8.35156
1 22 8.35575
1 23 8.36015
1 24 8.36475
1 25 8.36955
1 26 8.37456
1 27 8.37977
1 28 8.38519
1 29 8.39081
1 30 8.39664
1 31 8.40267
1 32 8.4089
1 33 8.41533
1 34 8.42196
1 35 8.4288
1 36 8.43583
1 37 8.44307
1 38 8.45051
1 39 8.45814
1 40 8.46597
1 41 8.474
1 42 8.48223
1 43 8.49066
1 44 8.49928
1 45 8.50809
1 46 8.5171
1 47 8.52631
2 0 8.41414
2 1 8.41396
2 2 8.41399
2 3 8.41422
2 4 8.41466
2 5 8.41531
2 6 8.41616
2 7 8.41722
2 8 8.41848
2 9 8.41995
2 10 8.42163
2 11 8.42351
2 12 8.4256
2 13 8.4279
2 14 8.4304
2 15 8.43311
2 16 8.43602
2 17 8.43913
2 18 8.44245
2 19 8.44598
2 20 8.44971
2 21 8.45364
2 22 8.45778
2 23 8.46212
2 24 8.46667
2 25 8.47141
