Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
0 0 8.6257927
0 1 8.6341571
0 2 8.6252825
0 3 8.6435093
0 4 8.6357908
0 5 8.6407763
0 6 8.6367704
0 7 8.6446431
0 8 8.6441419
0 9 8.6490765
0 10 8.6376678
0 11 8.6509116
0 12 8.6597849
0 13 8.6569967
0 14 8.6506210
0 15 8.6558243
0 16 8.6513245
0 17 8.6595099
0 18 8.6629119
0 19 8.6605459
0 20 8.6660565
0 21 8.6711930
0 22 8.6694107
0 23 8.6797514
0 24 8.6859840
0 25 8.6794047
0 26 8.6756710
0 27 8.6933776
0 28 8.7055610
0 29 8.7006821
0 30 8.7057968
0 31 8.7133095
0 32 8.7219930
0 33 8.7328048
0 34 8.7272306
0 35 8.7531056
0 36 8.7527792
0 37 8.7622055
0 38 8.7602155
0 39 8.7689691
0 40 8.7827996
0 41 8.7897874
0 42 8.8102530
0 43 8.8160923
0 44 8.8208606
0 45 8.8238447
0 46 8.8287425
0 47 8.8395500
1 0 8.3342800
1 1 8.3340300
1 2 8.3339900
1 3 8.3341500
1 4 8.3345300
1 5 8.3351100
1 6 8.3359100
1 7 8.3369100
1 8 8.3381200
1 9 8.3395400
1 10 8.3411600
1 11 8.3430000
1 12 8.3450400
1 13 8.3472900
1 14 8.3497500
1 15 8.3524200
1 16 8.3552900
1 17 8.3583700
1 18 8.3616500
1 19 8.3651500
1 20 8.3688500
1 21 8.3727500
1 22 8.3768600
1 23 8.3811800
1 24 8.3857000
1 25 8.3904300
1 26 8.3953600
1 27 8.4004900
1 28 8.4058300
1 29 8.4113700
1 30 8.4171200
1 31 8.4230600
1 32 8.4292100
1 33 8.4355600
1 34 8.4421200
1 35 8.4488700
1 36 8.4558200
1 37 8.4629700
1 38 8.4703300
1 39 8.4778800
1 40 8.4856200
1 41 8.4935700
1 42 8.5017100
1 43 8.5100500
1 44 8.5185900
1 45 8.5273200
1 46 8.5362500
1 47 8.5453700
2 0 8.4540395
2 1 8.4533759
2 2 8.4525400
2 3 8.4561538
2 4 8.4572950
2 5 8.4514473
2 6 8.4572137
2 7 8.4618826
2 8 8.4585867
2 9 8.4609274
2 10 8.4677867
2 11 8.4654684
2 12 8.4614761
2 13 8.4651410
2 14 8.4617552
2 15 8.4669536
2 16 8.4718944
2 17 8.4739382
2 18 8.4833362
2 19 8.4862358
2 20 8.4924335
2 21 8.4944331
2 22 8.4960205
2 23 8.4985886
2 24 8.4989283
2 25 8.5052034
2 26 8.5075653
2 27 8.5164803
2 28 8.5285572
2 29 8.5313343
2 30 8.5368430
2 31 8.5441752
2 32 8.5463700
2 33 8.5545543
2 34 8.5615263
2 35 8.5676201
2 36 8.5774361
2 37 8.5795899
2 38 8.5835550
2 39 8.5978980
2 40 8.6060774
2 41 8.6177933
2 42 8.6169287
2 43 8.6292165
2 44 8.6386163
2 45 8.6412333
2 46 8.6484036
2 47 8.6712178
3 0 8.3644070
3 1 8.3714364
3 2 8.3632202
3 3 8.3653561
3 4 8.3691595
3 5 8.3605623
3 6 8.3638692
3 7 8.3697586
3 8 8.3692807
3 9 8.3689848
3 10 8.3744596
3 11 8.3717858
3 12 8.3812318
3 13 8.3769985
3 14 8.3826246
3 15 8.3883748
3 16 8.3750778
3 17 8.3689406
3 18 8.3932320
3 19 8.3912414
3 20 8.3964616
3 21 8.4072950
3 22 8.4099874
3 23 8.4080122
3 24 8.4133340
3 25 8.4239029
3 26 8.4298363
3 27 8.4356027
3 28 8.4415973
3 29 8.4438977
3 30 8.4551375
3 31 8.4562507
3 32 8.4648957
3 33 8.3254410
3 34 8.4790246
3 35 8.4876931
3 36 8.4938697
3 37 8.4970118
3 38 8.4999456
3 39 8.5109335
3 40 8.5272161
3 41 8.5249643
3 42 8.5300290
3 43 8.5374473
3 44 8.5483314
3 45 8.5524055
3 46 8.5690543
3 47 8.5760796
4 0 8.6487872
4 1 8.6454791
4 2 8.6497566
4 3 8.6493841
4 4 8.6476141
4 5 8.6478818
4 6 8.6553906
4 7 8.6605514
4 8 8.6621391
