Common TimeShift, ns
-248 ns
Plane	 Strip	 TimeShift, ns
0 0 8.6116
0 1 8.61136
0 2 8.61132
0 3 8.61149
0 4 8.61185
0 5 8.61242
0 6 8.61318
0 7 8.61415
0 8 8.61532
0 9 8.6167
0 10 8.61827
0 11 8.62005
0 12 8.62202
0 13 8.6242
0 14 8.62658
0 15 8.62916
0 16 8.63194
0 17 8.63492
0 18 8.6381
0 19 8.64148
0 20 8.64506
0 21 8.64885
0 22 8.65283
0 23 8.657
0 24 8.66138
0 25 8.66596
0 26 8.67073
0 27 8.6757
0 28 8.68087
0 29 8.68624
0 30 8.6918
0 31 8.69756
0 32 8.70352
0 33 8.70967
0 34 8.71601
0 35 8.72255
0 36 8.72929
0 37 8.73622
0 38 8.74334
0 39 8.75065
0 40 8.75816
0 41 8.76586
0 42 8.77375
0 43 8.78183
0 44 8.7901
0 45 8.79857
0 46 8.80722
0 47 8.81606
1 0 8.33428
1 1 8.33403
1 2 8.33399
1 3 8.33415
1 4 8.33453
1 5 8.33511
1 6 8.33591
1 7 8.33691
1 8 8.33812
1 9 8.33954
1 10 8.34116
1 11 8.343
1 12 8.34504
1 13 8.34729
1 14 8.34975
1 15 8.35242
1 16 8.35529
1 17 8.35837
1 18 8.36165
1 19 8.36515
1 20 8.36885
1 21 8.37275
1 22 8.37686
1 23 8.38118
1 24 8.3857
1 25 8.39043
1 26 8.39536
1 27 8.40049
1 28 8.40583
1 29 8.41137
1 30 8.41712
1 31 8.42306
1 32 8.42921
1 33 8.43556
1 34 8.44212
1 35 8.44887
1 36 8.45582
1 37 8.46297
1 38 8.47033
1 39 8.47788
1 40 8.48562
1 41 8.49357
1 42 8.50171
1 43 8.51005
1 44 8.51859
1 45 8.52732
1 46 8.53625
1 47 8.54537
2 0 8.43693
2 1 8.43669
2 2 8.43665
2 3 8.43681
2 4 8.43718
2 5 8.43776
2 6 8.43855
2 7 8.43954
2 8 8.44073
2 9 8.44213
2 10 8.44374
2 11 8.44555
2 12 8.44757
2 13 8.44979
2 14 8.45222
2 15 8.45485
2 16 8.45769
2 17 8.46073
2 18 8.46398
2 19 8.46743
2 20 8.47109
2 21 8.47494
2 22 8.47901
2 23 8.48327
2 24 8.48774
2 25 8.49241
2 26 8.49728
2 27 8.50235
2 28 8.50763
2 29 8.5131
2 30 8.51878
2 31 8.52465
2 32 8.53073
2 33 8.537
2 34 8.54348
2 35 8.55015
2 36 8.55702
2 37 8.56409
2 38 8.57135
2 39 8.57882
2 40 8.58647
2 41 8.59433
2 42 8.60237
2 43 8.61062
2 44 8.61905
2 45 8.62768
2 46 8.6365
2 47 8.64552
3 0 8.35026
3 1 8.35001
3 2 8.34997
3 3 8.35013
