Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
0 0 8.589244
0 1 8.589067
0 2 8.589092
0 3 8.58932
0 4 8.58975
0 5 8.590382
0 6 8.591217
0 7 8.592254
0 8 8.593493
0 9 8.594934
0 10 8.596578
0 11 8.598423
0 12 8.60047
0 13 8.602718
0 14 8.605168
0 15 8.607819
0 16 8.610671
0 17 8.613725
0 18 8.616978
0 19 8.620433
0 20 8.624087
0 21 8.627942
0 22 8.631996
0 23 8.636249
0 24 8.640702
0 25 8.645353
0 26 8.650203
0 27 8.655251
0 28 8.660497
0 29 8.665941
0 30 8.671581
0 31 8.677418
0 32 8.683451
0 33 8.689681
0 34 8.696105
0 35 8.702725
0 36 8.709539
0 37 8.716548
0 38 8.72375
0 39 8.731145
0 40 8.738733
0 41 8.746513
0 42 8.754485
0 43 8.762648
0 44 8.771001
0 45 8.779545
0 46 8.788278
0 47 8.7972
1 0 8.311579
1 1 8.311396
1 2 8.311422
1 3 8.311657
1 4 8.312102
1 5 8.312755
1 6 8.313618
1 7 8.314689
1 8 8.31597
1 9 8.317459
1 10 8.319157
1 11 8.321064
1 12 8.323179
1 13 8.325502
1 14 8.328034
1 15 8.330773
1 16 8.33372
1 17 8.336875
1 18 8.340237
1 19 8.343806
1 20 8.347581
1 21 8.351563
1 22 8.355751
1 23 8.360146
1 24 8.364745
1 25 8.36955
1 26 8.37456
1 27 8.379774
1 28 8.385192
1 29 8.390814
1 30 8.396639
1 31 8.402667
1 32 8.408898
1 33 8.41533
1 34 8.421964
1 35 8.428799
1 36 8.435835
1 37 8.44307
1 38 8.450505
1 39 8.45814
1 40 8.465972
1 41 8.474003
1 42 8.482231
1 43 8.490655
1 44 8.499276
1 45 8.508093
1 46 8.517104
1 47 8.52631
2 0 8.414145
2 1 8.413964
2 2 8.413989
2 3 8.414222
2 4 8.414661
2 5 8.415306
2 6 8.416158
2 7 8.417217
2 8 8.418482
2 9 8.419953
2 10 8.42163
2 11 8.423514
2 12 8.425603
2 13 8.427898
2 14 8.430399
2 15 8.433105
2 16 8.436016
2 17 8.439133
2 18 8.442454
2 19 8.44598
2 20 8.44971
2 21 8.453644
2 22 8.457781
2 23 8.462122
2 24 8.466667
2 25 8.471414
2 26 8.476363
2 27 8.481514
2 28 8.486868
2 29 8.492422
2 30 8.498178
2 31 8.504134
2 32 8.51029
2 33 8.516646
2 34 8.523201
2 35 8.529955
2 36 8.536907
2 37 8.544057
2 38 8.551405
2 39 8.558949
2 40 8.566689
2 41 8.574626
2 42 8.582757
2 43 8.591083
2 44 8.599603
2 45 8.608317
2 46 8.617224
2 47 8.626323
3 0 8.327638
3 1 8.327455
3 2 8.327481
3 3 8.327716
3 4 8.328159
3 5 8.328811
3 6 8.329672
3 7 8.330742
3 8 8.33202
3 9 8.333506
3 10 8.335201
3 11 8.337104
3 12 8.339215
3 13 8.341534
3 14 8.344061
3 15 8.346795
3 16 8.349736
3 17 8.352885
3 18 8.35624
3 19 8.359802
3 20 8.363571
3 21 8.367545
3 22 8.371725
3 23 8.376111
3 24 8.380702
3 25 8.385497
3 26 8.390498
3 27 8.395702
3 28 8.40111
3 29 8.406721
3 30 8.412535
3 31 8.418552
3 32 8.424771
3 33 8.431191
3 34 8.437812
3 35 8.444635
3 36 8.451657
3 37 8.458879
3 38 8.4663
3 39 8.47392
3 40 8.481738
3 41 8.489754
3 42 8.497967
3 43 8.506376
3 44 8.514981
3 45 8.523781
3 46 8.532776
3 47 8.541965
4 0 8.620297
4 1 8.62012
4 2 8.620145
4 3 8.620372
4 4 8.620801
4 5 8.621431
4 6 8.622262
4 7 8.623296
4 8 8.62453
4 9 8.625966
4 10 8.627604
4 11 8.629442
4 12 8.631482
4 13 8.633722
4 14 8.636163
4 15 8.638805
4 16 8.641647
4 17 8.644689
4 18 8.647931
4 19 8.651373
4 20 8.655015
4 21 8.658855
4 22 8.662895
4 23 8.667133
4 24 8.67157
4 25 8.676205
4 26 8.681038
4 27 8.686068
4 28 8.691295
4 29 8.696719
4 30 8.70234
4 31 8.708156
