Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
0 0 8.572902
0 1 8.572584
0 2 8.57247
0 3 8.572558
0 4 8.572849
0 5 8.573343
0 6 8.57404
0 7 8.574939
0 8 8.576041
0 9 8.577346
0 10 8.578853
0 11 8.580562
0 12 8.582474
0 13 8.584588
0 14 8.586903
0 15 8.589421
0 16 8.59214
0 17 8.59506
0 18 8.598182
0 19 8.601504
0 20 8.605027
0 21 8.608751
0 22 8.612675
0 23 8.6168
0 24 8.621123
0 25 8.625646
0 26 8.630369
0 27 8.63529
0 28 8.640409
0 29 8.645726
0 30 8.651242
0 31 8.656954
0 32 8.662863
0 33 8.668969
0 34 8.675271
0 35 8.681769
0 36 8.688462
0 37 8.69535
0 38 8.702432
0 39 8.709707
0 40 8.717177
0 41 8.724839
0 42 8.732693
0 43 8.740739
0 44 8.748977
0 45 8.757405
0 46 8.766024
0 47 8.774832
1 0 8.294967
1 1 8.294639
1 2 8.294521
1 3 8.294613
1 4 8.294913
1 5 8.295424
1 6 8.296144
1 7 8.297073
1 8 8.298212
1 9 8.299561
1 10 8.301118
1 11 8.302885
1 12 8.30486
1 13 8.307044
1 14 8.309437
1 15 8.312039
1 16 8.314848
1 17 8.317866
1 18 8.321092
1 19 8.324525
1 20 8.328165
1 21 8.332013
1 22 8.336067
1 23 8.340328
1 24 8.344795
1 25 8.349468
1 26 8.354347
1 27 8.35943
1 28 8.364718
1 29 8.370211
1 30 8.375907
1 31 8.381807
1 32 8.387911
1 33 8.394217
1 34 8.400725
1 35 8.407434
1 36 8.414346
1 37 8.421457
1 38 8.42877
1 39 8.436281
1 40 8.443993
1 41 8.451902
1 42 8.46001
1 43 8.468316
1 44 8.476818
1 45 8.485517
1 46 8.494411
1 47 8.503501
2 0 8.397431
2 1 8.397107
2 2 8.39699
2 3 8.39708
2 4 8.397378
2 5 8.397882
2 6 8.398593
2 7 8.399511
2 8 8.400636
2 9 8.401968
2 10 8.403506
2 11 8.405251
2 12 8.407203
2 13 8.409361
2 14 8.411724
2 15 8.414294
2 16 8.41707
2 17 8.420051
2 18 8.423237
2 19 8.426629
2 20 8.430225
2 21 8.434026
2 22 8.438032
2 23 8.442241
2 24 8.446654
2 25 8.451271
2 26 8.45609
2 27 8.461113
2 28 8.466338
2 29 8.471764
2 30 8.477393
2 31 8.483222
2 32 8.489252
2 33 8.495483
2 34 8.501914
2 35 8.508544
2 36 8.515373
2 37 8.5224
2 38 8.529626
2 39 8.537049
2 40 8.544669
2 41 8.552486
2 42 8.560498
2 43 8.568706
2 44 8.577109
2 45 8.585706
2 46 8.594497
2 47 8.603481
3 0 8.311027
3 1 8.3107
3 2 8.310582
3 3 8.310673
3 4 8.310973
3 5 8.311483
3 6 8.312202
3 7 8.313129
3 8 8.314266
3 9 8.315612
3 10 8.317166
3 11 8.318929
3 12 8.320901
3 13 8.323081
3 14 8.325469
3 15 8.328066
3 16 8.33087
3 17 8.333882
3 18 8.337101
3 19 8.340528
3 20 8.344161
3 21 8.348002
3 22 8.352048
3 23 8.356301
3 24 8.360759
3 25 8.365423
3 26 8.370292
3 27 8.375366
3 28 8.380644
3 29 8.386127
3 30 8.391812
3 31 8.397701
3 32 8.403793
3 33 8.410087
3 34 8.416583
3 35 8.42328
3 36 8.430178
3 37 8.437277
3 38 8.444575
3 39 8.452073
3 40 8.45977
3 41 8.467665
3 42 8.475757
3 43 8.484047
3 44 8.492534
3 45 8.501217
3 46 8.510095
3 47 8.519167
4 0 8.603954
4 1 8.603638
4 2 8.603524
4 3 8.603612
4 4 8.603902
4 5 8.604394
4 6 8.605088
4 7 8.605984
4 8 8.607082
4 9 8.608382
4 10 8.609884
4 11 8.611587
4 12 8.613492
4 13 8.615598
4 14 8.617905
4 15 8.620413
4 16 8.623122
4 17 8.626032
4 18 8.629143
4 19 8.632453
4 20 8.635964
4 21 8.639675
4 22 8.643585
4 23 8.647694
4 24 8.652002
4 25 8.65651
4 26 8.661215
4 27 8.666118
4 28 8.67122
4 29 8.676518
4 30 8.682014
4 31 8.687706
