Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
0 0 8.5921054
0 1 8.6004007
0 2 8.5870558
0 3 8.6101656
0 4 8.6002287
0 5 8.6076473
0 6 8.5996968
0 7 8.6104361
0 8 8.6099506
0 9 8.6144958
0 10 8.6044921
0 11 8.6203158
0 12 8.6259455
0 13 8.6244011
0 14 8.6161688
0 15 8.6261722
0 16 8.6158139
0 17 8.625209
0 18 8.6286121
0 19 8.6232358
0 20 8.628533
0 21 8.6365081
0 22 8.6339069
0 23 8.6449819
0 24 8.6481065
0 25 8.6378975
0 26 8.63423551
0 27 8.6558753
0 28 8.6676917
0 29 8.665674
0 30 8.6671
0 31 8.6758583
0 32 8.6835596
0 33 8.6949728
0 34 8.6889401
0 35 8.7163738
0 36 8.7128497
0 37 8.7285294
0 38 8.7241713
0 39 8.7366869
0 40 8.7491704
0 41 8.7536107
0 42 8.7774681
0 43 8.7706889
0 44 8.7881219
0 45 8.7863211
0 46 8.7966458
0 47 8.8083643
1 0 8.294967
1 1 8.294639
1 2 8.294521
1 3 8.294613
1 4 8.294913
1 5 8.295424
1 6 8.296144
1 7 8.297073
1 8 8.298212
1 9 8.299561
1 10 8.301118
1 11 8.302885
1 12 8.30486
1 13 8.307044
1 14 8.309437
1 15 8.312039
1 16 8.314848
1 17 8.317866
1 18 8.321092
1 19 8.324525
1 20 8.328165
1 21 8.332013
1 22 8.336067
1 23 8.340328
1 24 8.344795
1 25 8.349468
1 26 8.354347
1 27 8.35943
1 28 8.364718
1 29 8.370211
1 30 8.375907
1 31 8.381807
1 32 8.387911
1 33 8.394217
1 34 8.400725
1 35 8.407434
1 36 8.414346
1 37 8.421457
1 38 8.42877
1 39 8.436281
1 40 8.443993
1 41 8.451902
1 42 8.46001
1 43 8.468316
1 44 8.476818
1 45 8.485517
1 46 8.494411
1 47 8.503501
2 0 8.416268
2 1 8.4184092
2 2 8.4155358
2 3 8.4213065
2 4 8.4243696
2 5 8.4153412
2 6 8.4214064
2 7 8.4268621
2 8 8.4269141
2 9 8.4245607
2 10 8.4333277
2 11 8.4293356
2 12 8.4252794
2 13 8.4301394
2 14 8.4241086
2 15 8.4292639
2 16 8.4357929
2 17 8.4394694
2 18 8.4478873
2 19 8.4520672
2 20 8.4588181
2 21 8.4585906
2 22 8.4598204
2 23 8.4640554
2 24 8.4603021
2 25 8.4658807
2 26 8.4712807
2 27 8.4786477
2 28 8.4915737
2 29 8.4947121
2 30 8.5002471
2 31 8.5065929
2 32 8.5117709
2 33 8.5179897
2 34 8.5266958
2 35 8.5287804
2 36 8.5402198
2 37 8.5407189
2 38 8.542305
2 39 8.5618483
2 40 8.5720514
2 41 8.5822904
2 42 8.5790913
2 43 8.5886861
2 44 8.6004559
2 45 8.6042094
2 46 8.6090543
2 47 8.6357378
3 0 8.3319179
3 1 8.3385367
3 2 8.3301639
3 3 8.3310435
3 4 8.3355241
3 5 8.3259653
3 6 8.3275135
3 7 8.3336552
3 8 8.3341754
3 9 8.3342737
3 10 8.3394805
3 11 8.3359737
3 12 8.3445934
3 13 8.3402792
3 14 8.3477785
3 15 8.3544306
3 16 8.33894047
3 17 8.33159824
3 18 8.3564163
3 19 8.3556957
3 20 8.3599377
3 21 8.3718858
3 22 8.3737596
3 23 8.3716578
3 24 8.3753553
3 25 8.3875945
3 26 8.3936137
3 27 8.3998132
3 28 8.4040976
3 29 8.4088477
3 30 8.418028
3 31 8.4204733
3 32 8.42721
3 33 8.284923
3 34 8.4413885
3 35 8.4495693
3 36 8.453684
3 37 8.4587018
3 38 8.4622739
3 39 8.4739132
3 40 8.491668
3 41 8.4873528
3 42 8.4931818
3 43 8.5006862
3 44 8.5090961
3 45 8.5168296
3 46 8.5357134
3 47 8.5380378
4 0 8.6153482
4 1 8.60519052
4 2 8.6148792
4 3 8.61317928
4 4 8.61071819
4 5 8.61366858
4 6 8.6182371
4 7 8.6287957
4 8 8.6293062
4 9 8.6303555
4 10 8.6334454
4 11 8.6303217
4 12 8.6252416
4 13 8.62481604
4 14 8.6333581
