TimeShift by Proton p>2GeV/c. Common TimeShift, ns
545
Plane	Strip	TimeShift, ns
0	0	15.9632
0	1	16.0676
0	2	16.0768
0	3	16.0016
0	4	16.1151
0	5	16.1028
0	6	16.2877
0	7	16.1595
0	8	16.27
0	9	16.1059
0	10	16.2172
0	11	16.2341
0	12	16.2984
0	13	16.1274
0	14	16.3554
0	15	16.2976
0	16	16.3193
0	17	16.2919
0	18	16.3555
0	19	16.3278
0	20	16.4372
0	21	16.3595
0	22	16.3349
0	23	16.398
0	24	16.5078
0	25	16.5265
0	26	16.5399
0	27	16.4226
0	28	16.5784
0	29	16.5466
0	30	16.5676
0	31	16.5824
0	32	16.5998
0	33	16.5738
0	34	16.7352
0	35	16.5578
0	36	16.6718
0	37	16.764
0	38	16.8528
0	39	16.6427
0	40	14.8446
0	41	13.9512
0	42	16.7653
0	43	16.8843
0	44	16.9719
0	45	16.83
0	46	16.9401
0	47	16.9739
1	0	16.1879
1	1	16.1587
1	2	16.1285
1	3	16.0737
1	4	16.1625
1	5	16.1246
1	6	16.2895
1	7	16.2377
1	8	16.3166
1	9	16.3364
1	10	16.3765
1	11	16.2301
1	12	16.3193
1	13	16.2652
1	14	16.3759
1	15	16.2749
1	16	16.3888
1	17	16.3366
1	18	16.426
1	19	16.4232
1	20	16.6065
1	21	16.4104
1	22	16.4523
1	23	16.4729
1	24	16.5396
1	25	16.6269
1	26	16.623
1	27	16.5182
1	28	16.707
1	29	16.7203
1	30	16.7165
1	31	16.6872
1	32	16.7979
1	33	16.6528
1	34	16.7922
1	35	16.7404
1	36	16.8273
1	37	16.6555
1	38	16.7927
1	39	16.9005
1	40	16.8982
1	41	16.8936
1	42	17.0765
1	43	16.963
1	44	17.078
1	45	16.9559
1	46	16.9318
1	47	16.9564
2	0	18.1223
2	1	18.2081
2	2	18.2471
2	3	18.1458
2	4	18.2337
2	5	18.2471
2	6	18.2863
2	7	18.3029
2	8	18.3623
2	9	18.2645
2	10	18.374
2	11	18.3662
2	12	18.4526
2	13	18.4467
2	14	18.5116
2	15	18.4325
2	16	18.5473
2	17	18.5182
2	18	18.5653
2	19	18.5846
2	20	18.6696
2	21	18.5255
2	22	18.617
2	23	18.6601
2	24	18.4912
2	25	18.5547
2	26	18.5734
2	27	18.4804
2	28	18.5915
2	29	18.6203
2	30	18.7813
2	31	18.6598
2	32	18.8454
2	33	18.7235
2	34	18.86
2	35	18.7894
2	36	18.875
2	37	18.7109
2	38	18.8463
2	39	18.8896
2	40	18.8892
2	41	18.8361
2	42	19.0198
2	43	18.9221
2	44	19.0125
2	45	18.9585
2	46	18.9269
2	47	18.963
3	0	22.7504
3	1	22.7395
3	2	22.7376
3	3	22.7088
3	4	22.8156
3	5	22.687
3	6	22.8482
3	7	22.8156
3	8	22.9198
3	9	22.8487
3	10	22.9544
3	11	22.7839
3	12	22.9871
3	13	22.9091
3	14	23.0187
3	15	22.9165
3	16	22.9846
3	17	22.9979
3	18	23.0142
3	19	23.082
3	20	23.1238
3	21	23.0444
3	22	23.1127
3	23	23.1076
3	24	22.9647
3	25	22.9823
3	26	23.0489
3	27	22.9297
3	28	23.1122
3	29	23.0675
3	30	23.1574
3	31	23.1648
3	32	23.1659
3	33	23.1458
3	34	23.3074
3	35	23.1394
3	36	23.301
3	37	23.2282
3	38	23.2937
3	39	23.2667
3	40	23.3107
3	41	23.2545
3	42	23.3673
3	43	23.2912
3	44	23.4381
3	45	23.3838
3	46	23.3895
3	47	23.3907
4	0	22.4098
4	1	22.468
4	2	22.4863
4	3	22.3851
4	4	22.4451
4	5	22.5023
4	6	22.5295
4	7	22.4981
4	8	22.6889
4	9	22.5775
4	10	22.7426
4	11	22.6145
4	12	22.8206
4	13	22.6443
4	14	22.8072
4	15	22.7254
4	16	22.7419
4	17	22.7067
4	18	22.8675
4	19	22.7426
4	20	22.9019
4	21	22.7817
4	22	22.8037
4	23	22.8219
4	24	23.1726
4	25	23.1615
4	26	23.2105
4	27	23.0921
4	28	23.2034
4	29	23.1238
4	30	23.2666
4	31	23.2609
4	32	23.2328
4	33	23.2274
4	34	23.3644
4	35	23.2462
4	36	23.3578
4	37	23.3349
4	38	23.3978
4	39	23.2685
4	40	23.4339
4	41	23.3533
4	42	23.422
