Plane	Strip	Mean
==========================
0	0	0
0	1	-0.210937
0	2	-0.128906
0	3	-0.175781
0	4	-0.0585938
0	5	-0.175781
0	6	-0.234375
0	7	-0.257812
0	8	-0.0234375
0	9	0.0351562
0	10	0.0234375
0	11	-0.0117187
0	12	-0.105469
0	13	0.0117187
0	14	0.1875
0	15	0.0703125
0	16	-0.0351562
0	17	0.0234375
0	18	0.0351563
0	19	-0.105469
0	20	-0.105469
0	21	-0.09375
0	22	-0.09375
0	23	-0.152344
0	24	0.0703125
0	25	0.0703125
0	26	0.0703125
0	27	0.164062
0	28	0.0585938
0	29	0.09375
0	30	0.0820313
0	31	0.0703125
1	0	0
1	1	0.046875
1	2	0.175781
1	3	-0.0117187
1	4	0.0351562
1	5	0.316406
1	6	0.304687
1	7	0.152344
1	8	0.09375
1	9	-0.175781
1	10	-0.0351563
1	11	-0.152344
1	12	-0.210938
1	13	-0.152344
1	14	-0.246094
1	15	0.105469
1	16	-0.0820312
1	17	-0.0351562
1	18	0.152344
1	19	0.351562
1	20	0.0703125
1	21	0.152344
1	22	0.175781
1	23	0.28125
1	24	-0.09375
1	25	-0.117188
1	26	-0.128906
1	27	-0.0820312
1	28	2.21267e-18
1	29	-0.234375
1	30	-0.0703125
1	31	0.0942595
2	0	0
2	1	-0.0234375
2	2	-0.210938
2	3	-0.105469
2	4	-0.0351563
2	5	-0.1875
2	6	-0.328125
2	7	-0.421875
2	8	0.269531
2	9	0.210938
2	10	0.0820313
2	11	0.175781
2	12	0.175781
2	13	0.246094
2	14	0.175781
2	15	0.152344
2	16	-0.105469
2	17	-0.152344
2	18	-0.0585937
2	19	-0.199219
2	20	-0.246094
2	21	-0.222656
2	22	-0.210937
2	23	-0.257812
2	24	-1.67043e-18
2	25	0.164063
2	26	-0.01413
2	27	0.0351562
2	28	6.88072e-18
2	29	-0.0351563
2	30	-0.0351563
2	31	-3.10419e-17
3	0	0
3	1	0.140625
3	2	0.222656
3	3	0.292969
3	4	0.0820312
3	5	0.316406
3	6	0.175781
3	7	0.246094
3	8	0
3	9	-0.28125
3	10	0.09375
3	11	-0.164062
3	12	-0.339844
3	13	-0.0585937
3	14	-0.292969
3	15	-0.199219
3	16	0.0234375
3	17	0.222656
3	18	0.128906
3	19	-0.0234375
3	20	0.210938
