Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
0	0	20.7629
0	1	21.2283
0	2	21.1954
0	3	21.1931
0	4	21.1883
0	5	21.2075
0	6	21.1892
0	7	21.2291
0	8	21.2301
0	9	21.2140
0	10	21.2369
0	11	21.2208
0	12	21.2185
0	13	21.2136
0	14	21.2131
0	15	21.2231
0	16	21.2413
0	17	21.2442
0	18	21.2705
0	19	21.2418
0	20	21.2849
0	21	21.2457
0	22	21.2721
0	23	21.2420
0	24	21.2415
0	25	21.2538
0	26	21.2570
0	27	21.2525
0	28	21.2395
0	29	21.2456
0	30	21.2993
0	31	21.2495
1	0	20.3725
1	1	20.6929
1	2	20.7075
1	3	20.6878
1	4	20.6890
1	5	20.6900
1	6	20.7202
1	7	20.7065
1	8	20.7010
1	9	20.6964
1	10	20.6989
1	11	20.7126
1	12	20.7030
1	13	20.7129
1	14	20.7355
1	15	20.7097
1	16	20.7274
1	17	20.7206
1	18	20.7574
1	19	20.7495
1	20	20.7267
1	21	20.7457
1	22	20.7745
1	23	20.7492
1	24	20.7565
1	25	20.7604
1	26	20.7855
1	27	20.7568
1	28	20.7750
1	29	20.7581
1	30	20.8187
1	31	20.7660
2	0	20.5548
2	1	20.9155
2	2	20.9295
2	3	20.9127
2	4	20.9191
2	5	20.9271
2	6	20.9212
2	7	20.9370
2	8	20.9365
2	9	20.9191
2	10	20.9397
2	11	20.9278
2	12	20.9388
2	13	20.9460
2	14	20.9448
2	15	20.9373
2	16	20.9600
2	17	20.9548
2	18	20.9573
2	19	20.9656
2	20	20.9697
2	21	20.9692
2	22	20.9841
2	23	20.9936
2	24	20.9721
2	25	21.1379
2	26	21.0717
2	27	21.0002
2	28	21.0177
2	29	21.0185
2	30	21.0005
2	31	21.0108
3	0	20.1868
3	1	20.4502
3	2	20.4622
3	3	20.4453
3	4	20.4427
3	5	20.4587
3	6	20.4622
3	7	20.4544
3	8	20.4693
3	9	20.4738
3	10	20.4764
3	11	20.4571
3	12	20.4643
3	13	20.4738
3	14	20.4909
3	15	20.4801
3	16	20.4884
3	17	20.4847
3	18	20.4786
3	19	20.4835
3	20	20.4782
3	21	20.4995
3	22	20.5113
3	23	20.4883
3	24	20.4917
3	25	20.5161
3	26	20.4928
3	27	20.5127
3	28	20.5142
3	29	20.5335
3	30	20.5546
3	31	20.5442
4	0	20.3956
4	1	20.7043
4	2	20.7157
4	3	20.7136
4	4	20.7274
4	5	20.7152
4	6	20.7253
4	7	20.7310
4	8	20.7321
4	9	20.7460
4	10	20.7432
4	11	20.7322
4	12	20.7405
4	13	20.7534
4	14	20.7532
4	15	20.7465
4	16	20.7545
4	17	20.7649
4	18	20.7569
4	19	20.7575
4	20	20.7654
4	21	20.7732
4	22	20.7790
4	23	20.7704
4	24	20.7734
4	25	20.7861
4	26	20.7837
4	27	20.7867
4	28	20.7941
4	29	20.8022
4	30	20.8183
4	31	20.8143
5	0	20.0487
5	1	20.2530
5	2	20.2479
5	3	20.2553
5	4	20.2569
5	5	20.2581
5	6	20.2658
5	7	20.2702
5	8	20.2806
5	9	20.2853
5	10	20.2901
5	11	20.2744
5	12	20.2965
5	13	20.2950
5	14	20.3087
5	15	20.3119
5	16	20.2998
5	17	20.3172
5	18	20.3290
