Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
0	0	20.7629
0	1	21.205
0	2	21.1866
0	3	21.2104
0	4	21.1981
0	5	21.1998
0	6	21.1798
0	7	21.2288
0	8	21.2156
0	9	21.2137
0	10	21.2127
0	11	21.21
0	12	21.2019
0	13	21.1953
0	14	21.2169
0	15	21.2227
0	16	21.2364
0	17	21.2429
0	18	21.2552
0	19	21.2395
0	20	21.2572
0	21	21.2418
0	22	21.238
0	23	21.253
0	24	21.2742
0	25	21.2575
0	26	21.2384
0	27	21.2253
0	28	21.2664
0	29	21.2604
0	30	21.2491
0	31	21.2576
1	0	20.3725
1	1	20.6912
1	2	20.7092
1	3	20.679
1	4	20.7006
1	5	20.6889
1	6	20.6978
1	7	20.701
1	8	20.6977
1	9	20.686
1	10	20.6999
1	11	20.708
1	12	20.7176
1	13	20.7114
1	14	20.7151
1	15	20.7167
1	16	20.7155
1	17	20.7203
1	18	20.7408
1	19	20.7331
1	20	20.7303
1	21	20.7475
1	22	20.7512
1	23	20.7484
1	24	20.7465
1	25	20.7691
1	26	20.7517
1	27	20.7607
1	28	20.755
1	29	20.7789
1	30	20.7819
1	31	20.7714
2	0	20.5548
2	1	20.922
2	2	20.9174
2	3	20.9212
2	4	20.9282
2	5	20.9256
2	6	20.9103
2	7	20.9208
2	8	20.9343
2	9	20.9237
2	10	20.9177
2	11	20.9222
2	12	20.9176
2	13	20.9293
2	14	20.9334
2	15	20.9532
2	16	20.9495
2	17	20.9409
2	18	20.9734
2	19	20.97
2	20	20.9557
2	21	20.9529
2	22	20.9736
2	23	20.9744
2	24	20.9958
2	25	21.0157
2	26	20.989
2	27	21.0005
2	28	21.0093
2	29	20.9846
2	30	20.9824
2	31	20.9982
3	0	20.1868
3	1	20.4574
3	2	20.459
3	3	20.4459
3	4	20.4436
3	5	20.4637
3	6	20.4412
3	7	20.4618
3	8	20.4663
3	9	20.4709
3	10	20.4649
3	11	20.4677
3	12	20.4646
3	13	20.4758
3	14	20.4848
3	15	20.48
3	16	20.4828
3	17	20.4836
3	18	20.486
3	19	20.4791
3	20	20.4764
3	21	20.4957
3	22	20.5042
3	23	20.4992
3	24	20.5083
3	25	20.5063
3	26	20.4983
3	27	20.5114
3	28	20.5126
3	29	20.5271
3	30	20.5484
3	31	20.548
4	0	20.3956
4	1	20.71
4	2	20.7063
4	3	20.7176
4	4	20.7144
4	5	20.7172
4	6	20.7178
4	7	20.7225
4	8	20.7334
4	9	20.7347
4	10	20.7423
4	11	20.7285
4	12	20.7427
4	13	20.7579
4	14	20.7476
4	15	20.7488
4	16	20.7573
4	17	20.7595
4	18	20.7468
4	19	20.7664
4	20	20.7618
4	21	20.7659
4	22	20.779
4	23	20.7662
4	24	20.7702
4	25	20.7918
4	26	20.776
4	27	20.7856
4	28	20.7926
