id#             chan    f_chan  size    x       y       used
============================================================
0x6F4BB2        1       51      255     255     255     0
0x6F4BB2        2       52      2       8       8       1
0x6F4BB2        3       49      2       2       8       1
0x6F4BB2        4       50      2       4       8       1
0x6F4BB2        5       53      255     255     255     1 
0x6F4BB2        6       54      255     255     255     1 
0x6F4BB2        7       55      255     255     255     1
0x6F4BB2        8       56      2       6       8       1
0x6F4BB2        9       59      255     255     255     0
0x6F4BB2        10      60      255     255     255     0
0x6F4BB2        11      57      255     255     255     0
0x6F4BB2        12      58      255     255     255     0
0x6F4BB2        13      61      255     255     255     0
0x6F4BB2        14      62      255     255     255     0
0x6F4BB2        15      63      255     255     255     0
0x6F4BB2        16      64      2       0       0       1
0x6F4BB2        17      35      1       3       6       1
0x6F4BB2        18      36      1       4       6       1
0x6F4BB2        19      33      2       0       4       1
0x6F4BB2        20      34      1       2       6       1
0x6F4BB2        21      37      1       5       6       1
0x6F4BB2        22      38      1       6       6       1
0x6F4BB2        23      39      1       7       6       1
0x6F4BB2        24      40      2       8       6       1
0x6F4BB2        25      43      1       5       7       1
0x6F4BB2        26      44      1       4       7       1
0x6F4BB2        27      41      1       7       7       1
0x6F4BB2        28      42      1       6       7       1
0x6F4BB2        29      45      1       3       7       1
0x6F4BB2        30      46      1       2       7       1
0x6F4BB2        31      47      2       0       6       1
0x6F4BB2        32      48      2       0       8       1
0x6F4BB2        33      3       2       4       0       1
0x6F4BB2        34      4       2       2       0       1
0x6F4BB2        35      1       2       8       0       1
0x6F4BB2        36      2       2       6       0       1
0x6F4BB2        37      5       2       0       0       1
0x6F4BB2        38      6       1       2       2       1
0x6F4BB2        39      7       1       3       2       1
0x6F4BB2        40      8       1       4       2       1
0x6F4BB2        41      11      1       7       2       1
0x6F4BB2        42      12      2       8       2       1
0x6F4BB2        43      9       1       5       2       1
0x6F4BB2        44      10      1       6       2       1
0x6F4BB2        45      13      1       7       3       1
0x6F4BB2        46      14      1       6       3       1
0x6F4BB2        47      15      1       5       3       1
0x6F4BB2        48      16      1       4       3       1
0x6F4BB2        49      19      2       0       2       1
0x6F4BB2        50      20      1       2       4       1
0x6F4BB2        51      17      1       3       3       1
0x6F4BB2        52      18      1       2       3       1
0x6F4BB2        53      21      1       3       4       1
0x6F4BB2        54      22      1       4       4       1
0x6F4BB2        55      23      1       5       4       1
0x6F4BB2        56      24      1       6       4       1
0x6F4BB2        57      27      1       7       5       1
0x6F4BB2        58      28      1       6       5       1
0x6F4BB2        59      25      1       7       4       1
0x6F4BB2        60      26      2       8       4       1
0x6F4BB2        61      29      1       5       5       1
0x6F4BB2        62      30      1       4       5       1
0x6F4BB2        63      31      1       3       5       1
0x6F4BB2        64      32      1       2       5       1

