nRun 0.000 0.000 ZCoorHe
2446 0.682 0.290 2.875
2447 0.667 0.383 2.775
2448 0.682 0.358 2.875
2449 0.652 0.538 2.825
2450 0.682 0.392 2.775
2451 0.714 0.232 2.825
2452 0.682 0.392 2.775
2454 0.682 0.597 2.975
2470 0.706 0.300 2.775
2474 0.682 0.494 2.625
2475 0.698 0.471 2.525
2477 0.714 0.375 2.575
2478 0.706 0.406 2.525
2479 0.698 0.471 2.625
2480 0.769 0.212 2.625
2481 0.706 0.406 2.575
2483 0.714 0.554 2.475
2485 0.714 0.446 2.675
2487 0.732 0.384 2.625
2522 0.732 0.384 2.625
2524 0.732 0.384 2.625
2525 0.732 0.384 2.625
2526 0.732 0.384 2.625
2527 0.732 0.384 2.625
2554 0.741 0.241 2.675
2566 0.769 0.173 2.725
2567 0.779 0.136 2.675
2570 0.779 0.136 2.725
2576 0.789 0.099 2.675
2580 0.769 0.250 2.625
2585 0.789 0.217 2.575
2586 0.779 0.253 2.625
2589 0.779 0.253 2.625
2591 0.811 0.101 1.225
2601 0.779 0.253 2.675
2603 0.811 0.142 2.625
2604 0.789 0.257 2.575
2623 0.811 0.182 2.575
2628 0.833 0.104 2.625
2629 0.845 0.063 2.575
2630 0.822 0.185 2.575
2635 0.968 -0.750 2.625
2640 0.822 0.185 2.625
2642 0.811 0.264 2.575
2644 0.800 0.300 2.625
2649 0.833 0.188 2.575
2650 0.833 0.188 2.525
2653 0.822 0.226 2.575
2657 0.833 0.146 2.575
2658 0.822 0.226 2.575
2661 0.833 0.146 2.575
2662 0.822 0.226 2.475
2670 0.645 1.468 1.175
2689 0.789 0.336 2.625
2700 0.833 0.146 2.575
2707 0.833 0.146 2.575
2708 0.833 0.146 2.525
2710 0.822 0.185 2.625
2711 0.845 0.148 2.575
2712 0.845 0.106 2.625
2720 0.833 0.188 2.625
2721 0.833 0.146 2.575
2722 0.845 0.106 2.575
2723 0.857 0.064 2.575
2726 0.845 0.106 2.525
2727 0.845 0.106 2.625
2728 0.845 0.106 2.625
2730 0.833 0.146 2.575
2734 0.833 0.188 2.625
2735 0.833 0.188 2.575
2742 0.833 0.146 2.525
2743 0.833 0.188 2.575
2746 0.845 0.148 2.525
2747 0.833 0.146 2.575
2748 0.833 0.188 2.525
2749 0.833 0.188 2.525
2753 0.833 0.229 2.525
2754 0.845 0.106 2.525
2756 0.833 0.188 2.575
2757 0.811 0.304 2.525
2758 0.845 0.148 2.575
2761 0.822 0.226 2.525
2762 0.822 0.267 2.525
2763 0.833 0.188 2.525
2766 0.822 0.226 2.525
2774 0.845 0.190 2.475
2775 0.857 0.150 2.525
2776 0.822 0.308 2.525
2777 0.682 1.244 2.375
2778 0.833 0.188 2.575
2781 0.811 0.304 2.525
2784 0.870 0.109 2.575
2789 0.870 0.109 2.525
2790 0.845 0.232 2.525
2791 0.845 0.190 2.525
2792 0.845 0.232 2.575
2795 0.870 0.109 2.525
2796 0.857 0.150 2.525
2799 0.857 0.150 2.575
2800 0.870 0.109 2.475
2801 0.882 0.022 2.475
2804 0.870 0.109 2.575
2805 0.845 0.232 2.525
2806 0.845 0.232 2.475
2807 0.845 0.232 2.525
2808 0.870 0.109 2.525
2814 0.857 0.193 2.475
2816 0.857 0.193 2.475
2817 0.857 0.193 2.525
2818 0.870 0.065 2.475
2821 0.870 0.109 2.525
2823 0.870 0.109 2.525
2825 0.870 0.065 2.525
2840 0.857 0.193 2.525
2841 0.882 0.066 2.525
2842 0.870 0.152 2.525
2843 0.882 0.066 2.525
2844 0.870 0.152 2.475
2847 0.870 0.152 2.525
2848 0.857 0.193 2.425
2849 0.870 0.152 2.525
2850 0.882 0.066 2.525
2852 0.857 0.193 2.475
2856 0.870 0.109 2.525
2857 0.870 0.152 2.525
2861 0.870 0.196 2.425
2864 0.909 0.068 2.525
2865 0.896 0.157 2.425
2866 0.909 0.068 2.375
2867 0.909 0.068 2.475
2869 0.882 0.066 2.525
2870 0.857 0.193 2.525
2871 0.741 1.019 2.375
2873 0.870 0.196 2.475
2874 0.870 0.152 2.375
2875 0.870 0.152 2.475
2877 0.870 0.152 2.525
2878 0.870 0.196 2.475
2881 0.896 0.067 2.425
2884 0.909 0.068 2.425
2886 0.896 0.157 2.425
2887 0.896 0.157 2.425
2889 0.923 0.023 2.475
2893 0.923 0.069 2.475
2895 0.923 0.023 2.375
2899 0.923 0.069 2.525
2900 0.923 0.023 2.425
2901 0.896 0.157 2.425
2903 0.909 0.114 2.425
2905 0.896 0.157 2.425
2907 0.923 0.069 2.425
2910 0.923 0.069 2.375
2912 0.909 0.114 2.375
2913 0.923 0.069 2.425
2914 0.896 0.201 2.375
2916 0.923 0.069 2.475
2918 0.923 0.069 2.425
2919 0.909 0.114 2.425
2922 0.923 0.069 2.425
2923 0.923 0.069 2.375
2925 0.909 0.114 2.425
2926 0.923 0.069 2.375
2927 0.923 0.069 2.425
2928 0.923 0.115 2.425
2929 0.909 0.159 2.325
2931 0.909 0.159 2.425
2932 0.923 0.069 2.425
2934 0.923 0.069 2.375
2935 0.909 0.159 2.425
2939 0.896 0.157 2.375
2940 0.896 0.157 2.425
2942 0.698 1.378 1.425
2945 0.923 0.069 2.325
2946 0.909 0.114 2.425
2948 0.909 0.114 2.425
2950 0.896 0.201 2.375
2953 0.909 0.068 2.425
2954 0.896 0.112 2.475
2956 0.923 0.023 2.425
2958 0.909 0.068 2.475
2960 0.909 0.114 2.425
2961 0.896 0.201 2.475
2962 0.896 0.157 2.375
2964 0.938 -0.023 2.375
2966 0.909 0.159 2.425
2969 0.909 0.114 2.425
2970 0.909 0.159 2.425
2973 0.909 0.114 2.375
2976 0.923 0.115 2.425
2977 0.952 -0.024 2.425
2978 0.923 0.069 2.375
2979 0.923 0.115 2.375
2981 0.923 0.069 2.375
3004 0.938 0.023 2.475
3007 0.923 0.069 2.375
3008 0.923 0.023 2.425
3010 0.923 0.115 2.425
3011 0.938 0.023 2.375
3013 0.923 0.069 2.425
3018 0.923 0.069 2.375
3021 0.909 0.114 2.425
3022 0.870 0.370 2.275
3023 0.923 0.069 2.475
3025 0.938 0.023 2.325
3029 0.923 0.069 2.425
3058 1.000 -0.125 2.425
3059 0.923 0.115 2.375
3060 0.968 -0.073 2.325
3061 0.938 0.070 2.375
3062 0.938 0.070 2.375
3064 0.909 0.205 2.375
3065 0.938 0.070 2.275
3066 0.938 0.070 2.275
3067 0.938 0.070 2.325
3068 0.923 0.115 2.325
3070 0.923 0.115 2.375
3071 0.909 0.159 2.375
3072 0.909 0.159 2.325
3073 0.938 0.070 2.275
3078 0.938 0.070 2.375
3079 0.923 0.162 2.275
3080 0.938 0.070 2.325
3083 0.923 0.162 2.275
3084 0.923 0.115 2.225
3085 0.952 0.024 2.325
3086 0.909 0.205 2.375
3091 0.938 0.117 2.325
3098 0.923 0.115 2.325
3099 0.923 0.162 2.275
3102 0.938 0.117 2.325
3105 0.984 -0.074 2.325
3108 0.909 0.205 2.425
3113 0.938 0.070 2.325
3114 0.923 0.162 2.325
3117 0.923 0.115 2.325
3119 0.938 0.070 2.325
3120 0.938 0.070 2.375
3121 0.952 0.071 2.375
3123 0.984 -0.025 2.325
3125 0.984 -0.074 2.375
3126 0.938 0.070 2.325
3127 0.952 0.024 2.375
3128 0.938 0.070 2.325
3129 0.923 0.162 2.325
3130 0.923 0.162 2.325
3131 0.896 0.246 2.325
3148 1.000 -0.025 2.275
3149 0.938 0.164 2.325
3150 0.968 0.073 2.325
3152 0.952 0.119 2.325
3153 0.952 0.119 2.325
3154 0.984 -0.025 2.275
3157 0.984 -0.025 2.325
3160 0.968 0.073 2.325
3161 0.968 0.024 2.375
3163 0.968 0.073 2.325
3164 0.984 -0.025 2.375
3165 0.968 0.024 2.325
3166 0.952 0.119 2.325
3168 0.952 0.119 2.325
3170 0.952 0.119 2.325
3172 0.968 0.024 2.325
3174 0.968 0.024 2.325
3178 0.952 0.119 2.325
3180 0.952 0.119 2.325
3181 0.938 0.211 2.275
3182 0.952 0.119 2.325
3183 0.968 0.073 2.275
3185 0.968 0.024 2.325
3187 0.938 0.164 2.275
3188 0.968 0.024 2.275
3189 0.968 0.073 2.275
3192 0.938 0.164 2.275
3193 0.952 0.119 2.275
3194 0.968 0.024 2.325
3195 0.952 0.119 2.325
3199 0.952 0.071 2.275
3200 0.952 0.071 2.275
3202 0.952 0.071 2.375
3206 0.968 0.024 2.325
3207 0.952 0.071 2.275
3208 0.968 0.024 2.325
3210 0.938 0.164 2.325
3213 0.938 0.164 2.325
3214 0.952 0.071 2.325
3216 0.968 0.024 2.275
3217 0.952 0.119 2.325
3219 0.968 -0.024 2.325
3220 0.984 -0.074 2.325
3224 0.952 0.119 2.325
3229 0.952 0.119 2.325
3230 0.923 0.208 2.275
3231 0.968 0.073 2.325
3232 0.968 0.073 2.275
3233 0.968 0.073 2.325
3234 0.984 0.025 2.225
3235 0.968 0.073 2.275
3236 0.984 -0.025 2.275
3237 0.952 0.119 2.275
3241 0.952 0.119 2.325
3243 0.984 -0.025 2.325
3246 0.923 0.254 2.325
3247 0.952 0.167 2.325
3248 0.952 0.119 2.275
