nRun 0.000 0.000 ZcoorHe_С
2441 0.674 0.287 8.475
2443 0.682 0.256 8.425
2445 0.667 0.383 8.425
2446 0.682 0.290 2.875
2447 0.667 0.383 2.775
2448 0.682 0.358 2.875
2449 0.652 0.538 2.825
2450 0.682 0.392 2.775
2451 0.714 0.232 2.825
2452 0.682 0.392 2.775
2454 0.682 0.597 2.975
2470 0.706 0.300 2.775
2474 0.682 0.494 2.625
2475 0.698 0.471 2.525
2477 0.714 0.375 2.575
2478 0.706 0.406 2.525
2479 0.698 0.471 2.625
2480 0.769 0.212 2.625
2481 0.706 0.406 2.575
2483 0.714 0.554 2.475
2485 0.714 0.446 2.675
2487 0.732 0.384 2.625
2522 0.732 0.384 2.625
2524 0.732 0.384 2.625
2525 0.732 0.384 2.625
2526 0.732 0.384 2.625
2527 0.732 0.384 2.625
2528 0.750 0.131 7.825
2529 0.759 0.057 7.825
2530 0.759 0.095 7.775
2532 0.769 0.019 7.775
2533 0.800 -0.100 7.625
2538 0.750 0.169 7.775
2554 0.741 0.241 2.675
2566 0.769 0.173 2.725
2567 0.779 0.136 2.675
2570 0.779 0.136 2.725
2576 0.789 0.099 2.675
2578 0.779 0.175 7.475
2579 0.779 0.175 7.475
2580 0.769 0.250 2.625
2585 0.789 0.217 2.575
2586 0.779 0.253 2.625
2587 0.789 0.217 7.325
2589 0.779 0.253 2.625
2591 0.811 0.101 1.225
2595 0.800 0.180 7.275
2599 0.800 0.180 7.275
2601 0.779 0.253 2.675
2602 0.800 0.180 7.275
2603 0.811 0.142 2.625
2604 0.789 0.257 2.575
2613 0.800 0.180 7.275
2623 0.811 0.182 2.575
2626 0.822 0.144 7.125
2628 0.833 0.104 2.625
2629 0.845 0.063 2.575
2630 0.822 0.185 2.575
2632 0.822 0.144 7.125
2635 0.968 -0.750 2.625
2639 0.833 0.104 7.075
2640 0.822 0.185 2.625
2642 0.811 0.264 2.575
2644 0.800 0.300 2.625
2645 0.845 0.063 7.025
2649 0.833 0.188 2.575
2650 0.833 0.188 2.525
2651 0.857 -0.021 7.025
2652 0.822 0.185 7.075
2653 0.822 0.226 2.575
2657 0.833 0.146 2.575
2658 0.822 0.226 2.575
2659 0.822 0.226 7.025
2661 0.833 0.146 2.575
2662 0.822 0.226 2.475
2665 0.833 0.188 6.975
2670 0.645 1.468 1.175
2673 0.632 1.532 7.075
2675 0.857 0.064 6.925
2677 0.870 0.022 6.875
2680 0.667 1.417 6.875
2685 0.659 1.500 6.825
2687 0.638 1.548 6.975
2689 0.789 0.336 2.625
2693 0.870 0.022 6.875
