nRun 0.000 0.000 ZcoorHe
2440 1.000 -3.275 8.275
2441 0.674 0.287 8.475
2442 1.053 -1.237 0.000
2443 0.674 0.287 8.475
2444 0.645 0.500 2.875
2445 0.667 0.383 8.425
2446 0.682 0.290 2.925
2447 0.674 0.354 2.825
2448 0.682 0.358 2.825
2449 0.690 0.362 2.875
2450 0.690 0.328 2.825
2451 0.714 0.232 2.825
2452 0.682 0.392 2.775
2453 1.000 -1.875 0.000
2454 0.714 0.268 0.000
2464 1.000 -1.775 0.000
2465 0.769 0.019 0.000
2466 1.000 -1.875 0.000
2470 0.706 0.335 2.825
2474 0.750 0.281 2.625
2475 0.698 0.436 2.525
2477 0.706 0.441 2.625
2478 0.759 0.247 2.575
2479 0.698 0.471 2.575
2480 0.759 0.247 2.575
2481 0.732 0.348 2.575
2483 0.723 0.488 2.475
2484 0.714 0.554 2.575
2485 0.723 0.416 2.625
2487 0.723 0.452 2.575
2522 0.732 0.384 2.625
2528 0.759 0.057 0.000
2529 0.750 0.131 0.000
2530 0.759 0.095 0.000
2532 0.759 0.133 0.000
2533 0.800 -0.060 0.000
2538 0.750 0.169 7.775
2545 0.741 0.167 2.725
2547 0.652 0.734 2.675
2550 0.714 0.232 2.525
2551 0.706 0.441 0.000
2552 0.690 0.466 2.575
2554 0.723 0.307 2.575
2555 0.723 0.380 2.475
2556 0.732 0.311 2.525
2557 0.698 0.576 2.525
2558 0.741 0.315 2.525
2560 0.732 0.421 2.525
2562 0.789 0.178 2.525
2566 0.769 0.173 2.775
2567 0.769 0.173 2.725
2570 0.789 0.059 0.000
2571 0.759 0.247 2.825
2572 0.779 0.136 2.725
2576 0.769 0.173 2.675
2578 0.779 0.175 7.475
2579 0.779 0.175 7.475
2580 0.769 0.250 2.675
2581 0.769 0.250 2.725
2582 0.769 0.250 2.725
2585 0.789 0.217 2.575
2586 0.789 0.178 2.625
2587 0.800 0.140 7.325
2589 0.779 0.253 2.625
2590 0.779 0.253 0.000
2591 0.789 0.257 1.225
2592 0.789 0.217 2.625
2594 0.789 0.257 2.625
2595 0.800 0.180 7.275
2596 0.779 0.292 2.625
2598 0.800 0.180 2.625
2599 0.800 0.180 0.000
2600 0.800 0.180 0.000
2601 0.800 0.140 2.675
2602 0.800 0.180 7.275
2603 0.811 0.101 2.625
2604 0.800 0.180 2.575
2605 0.811 0.142 2.575
2606 0.789 0.257 2.625
2610 0.800 0.220 0.000
2612 0.789 0.257 1.175
2613 0.800 0.180 7.275
2614 0.789 0.217 2.625
2619 0.800 0.180 2.625
2620 0.789 0.257 1.175
2621 0.779 0.292 2.525
2622 0.800 0.220 2.675
2623 0.811 0.182 2.575
2624 0.789 0.296 2.625
2625 0.800 0.260 2.625
2626 0.822 0.144 7.125
2627 0.811 0.182 2.625
2628 0.822 0.144 2.625
2629 0.822 0.144 2.575
2630 0.811 0.223 2.575
2631 0.822 0.185 2.625
2632 0.822 0.144 7.125
2633 0.811 0.223 2.625
2634 0.811 0.223 3.425
2635 0.822 0.185 3.425
2636 0.822 0.144 2.675
2637 0.822 0.144 2.625
2638 0.811 0.182 2.575
2639 0.822 0.144 7.125
2640 0.833 0.104 2.625
2641 0.822 0.185 2.625
2642 0.811 0.264 2.575
2643 0.822 0.185 2.575
2644 0.822 0.185 2.575
2645 0.845 0.063 7.025
2646 0.833 0.104 2.575
2647 0.822 0.185 2.575
2648 0.811 0.223 2.575
2649 0.822 0.226 2.575
2650 0.833 0.146 2.575
2651 0.845 0.063 7.025
2652 0.822 0.185 7.075
2653 0.811 0.264 2.625
2654 0.822 0.185 2.525
2655 0.833 0.146 2.575
2656 0.822 0.226 2.525
2657 0.833 0.146 2.575
2658 0.822 0.226 2.575
2659 0.833 0.146 7.025
2660 0.845 0.106 2.575
2661 0.845 0.063 2.625
2662 0.822 0.226 2.475
2663 0.822 0.226 2.525
2664 0.845 0.106 2.525
2665 0.845 0.106 6.975
2666 0.833 0.146 3.425
2667 0.833 0.146 2.625
2670 0.822 0.226 1.175
2672 0.833 0.229 1.175
2673 1.000 -0.975 0.000
2674 0.822 0.185 1.175
2675 1.000 -0.925 0.000
