ncrates
2

crate	crateID
0	0x68C99E
1	0x6912B2

nslots
15

crate	slot	dnltype		dnlfile
0	0	2		TDC_FFD_INL.dat
0	13	3		TDC64VHLE-076C-B905.ini
0	14	3		TDC64VHLE-076C-B8F5.ini
0	15	3		TDC64VHLE-076C-9F94.ini
0	16	3		TDC64VHLE-076C-9E50.ini
0	17	3		TDC64VHLE-FFE9-0439.ini
1	10	3		TDC64VHLE-FFE9-0439.ini
1	11	3		TDC64VHLE-076C-9E5B.ini
1	12	3		TDC64VHLE-06E9-0430.ini
1	13	3		TDC64VHLE-06E9-BA77.ini
1	14	3		TDC64VHLE-07A9-1EA9.ini
1	15	3		TDC64VHLE-07A9-1E90.ini
1	16	3		TDC64VHLE-07A9-1E87.ini
1	17	3		TDC64VHLE-07A9-1E9C.ini
1	18	3		TDC64VHLE-076C-B90E.ini
1	19	3		TDC64VHLE-06E9-0423.ini

nchambers
15

chamber		chamberID
0		16.2
1		28.1
2		3.1
3		17.2
4		29.1
5		4.1
6		18.2
7		30.1
8		5.1
9		19.2
10		31.1
11		6.1
12		20.2
13		32.1
14		2.1

crate	slot	channel		chamber		strip		side
0	13	0		0		1		1
0	13	1		0		2		1
0	13	2		0		3		1
0	13	3		0		4		1
0	13	4		0		5		1
0	13	5		0		6		1
0	13	6		0		7		1
0	13	7		0		8		1
0	13	8		0		9		1
0	13	9		0		10		1
0	13	10		0		11		1
0	13	11		0		12		1
0	13	12		0		13		1
0	13	13		0		14		1
0	13	14		0		15		1
0	13	15		0		16		1
0	13	16		0		1		2
0	13	17		0		2		2
0	13	18		0		3		2
0	13	19		0		4		2
0	13	20		0		5		2
0	13	21		0		6		2
0	13	22		0		7		2
0	13	23		0		8		2
0	13	24		0		9		2
0	13	25		0		10		2
0	13	26		0		11		2
0	13	27		0		12		2
0	13	28		0		13		2
0	13	29		0		14		2
0	13	30		0		15		2
0	13	31		0		16		2
0	13	32		0		17		1
0	13	33		0		18		1
0	13	34		0		19		1
0	13	35		0		20		1
0	13	36		0		21		1
0	13	37		0		22		1
0	13	38		0		23		1
0	13	39		0		24		1
0	13	40		0		25		1
0	13	41		0		26		1
0	13	42		0		27		1
0	13	43		0		28		1
0	13	44		0		29		1
0	13	45		0		30		1
0	13	46		0		31		1
0	13	47		0		32		1
0	13	48		0		17		2
0	13	49		0		18		2
0	13	50		0		19		2
0	13	51		0		20		2
0	13	52		0		21		2
0	13	53		0		22		2
0	13	54		0		23		2
0	13	55		0		24		2
0	13	56		0		25		2
0	13	57		0		26		2
0	13	58		0		27		2
0	13	59		0		28		2
0	13	60		0		29		2
0	13	61		0		30		2
0	13	62		0		31		2
0	13	63		0		32		2
0	14	0		6		1		1
0	14	1		6		2		1
0	14	2		6		3		1
0	14	3		6		4		1
0	14	4		6		5		1
0	14	5		6		6		1
0	14	6		6		7		1
0	14	7		6		8		1
