ncrates
1

crate	crateID
0	0x6912B2

nslots
4

crate	slot	dnltype		dnlfile
0	0	0		TDC_FFD_INL.dat
0	3	1		TDC2_INL.dat
0	4	1		TDC3_INL.dat
0	5	2		TDC4_INL.dat
0	6	2		TDC1_INL.dat

nchambers
4

chamber		chamberID
0		7
1		3
2		4
3		5

crate	slot	channel		chamber		strip		side
0	3	16		3		9		1
0	3	17		3		9		2
0	3	18		3		10		1
0	3	19		3		10		2
0	3	20		3		11		1
0	3	21		3		11		2
0	3	22		3		12		1
0	3	23		3		12		2
0	3	24		3		13		1
0	3	25		3		13		2
0	3	26		3		14		1
0	3	27		3		14		2
0	3	28		3		15		1
0	3	29		3		15		2
0	3	30		3		16		1
0	3	31		3		16		2
0	5	0		2		16		1
0	5	1		2		16		2
0	5	2		2		15		1
0	5	3		2		15		2
0	5	4		2		14		1
0	5	5		2		14		2
0	5	6		2		13		1
0	5	7		2		13		2
0	5	8		2		12		1
0	5	9		2		12		2
0	5	10		2		11		1
0	5	11		2		11		2
0	5	12		2		10		1
0	5	13		2		10		2
0	5	14		2		9		1
0	5	15		2		9		2
0	5	16		2		8		1
0	5	17		2		8		2
0	5	18		2		7		1
0	5	19		2		7		2
0	5	20		2		6		1
0	5	21		2		6		2
0	5	22		2		5		1
0	5	23		2		5		2
0	5	24		2		4		1
0	5	25		2		4		2
0	5	26		2		3		1
0	5	27		2		3		2
0	5	28		2		2		1
0	5	29		2		2		2
0	5	30		2		1		1
0	5	31		2		1		2
0	6	0		1		17		1
0	6	1		1		18		1
0	6	2		1		19		1
0	6	3		1		20		1
0	6	4		1		21		1
0	6	5		1		22		1
0	6	6		1		23		1
0	6	7		1		24		1
0	6	8		1		25		1
0	6	9		1		26		1
0	6	10		1		27		1
0	6	11		1		28		1
0	6	12		1		29		1
0	6	13		1		30		1
0	6	14		1		31		1
0	6	15		1		32		1
0	6	16		1		32		2
0	6	17		1		31		2
0	6	18		1		30		2
0	6	19		1		29		2
0	6	20		1		28		2
0	6	21		1		27		2
0	6	22		1		26		2
0	6	23		1		25		2
0	6	24		1		24		2
0	6	25		1		23		2
0	6	26		1		22		2
0	6	27		1		21		2
0	6	28		1		20		2
0	6	29		1		19		2
0	6	30		1		18		2
0	6	31		1		17		2
0	4	0		0		17		1
0	4	1		0		18		1
0	4	2		0		19		1
0	4	3		0		20		1
0	4	4		0		21		1
0	4	5		0		22		1
0	4	6		0		23		1
0	4	7		0		24		1
0	4	8		0		25		1
0	4	9		0		26		1
0	4	10		0		27		1
0	4	11		0		28		1
0	4	12		0		29		1
0	4	13		0		30		1
0	4	14		0		31		1
0	4	15		0		32		1
0	4	16		0		32		2
0	4	17		0		31		2
0	4	18		0		30		2
0	4	19		0		29		2
0	4	20		0		28		2
0	4	21		0		27		2
0	4	22		0		26		2
0	4	23		0		25		2
0	4	24		0		24		2
0	4	25		0		23		2
0	4	26		0		22		2
0	4	27		0		21		2
0	4	28		0		20		2
0	4	29		0		19		2
0	4	30		0		18		2
0	4	31		0		17		2
