#bar  tdiff_offset[ns]  sync_offset[ns]  vscint[cm/ns] 
1     -0.0576217     -0.179484     9.91409
2     -0.564716     0.0274642     9.25679
3     -0.0105538     -1.23659     9.15504
4     -1.85232     0.601873     8.24734
5     -2.0555     0.908011     8.15017
6     0.623938     0.418659     8.26878
7     1.93208     -1.07418     9.82686
8     2.83811     -1.05508     8.64822
9     -0.467785     0.48816     8.50326
10     0.500514     0.114271     8.62669
11     1.90391     0.557121     8.49079
12     -1.83041     -0.387411     8.90657
13     -3.45485     -0.33122     8.64658
14     -1.6961     -0.912056     8.35249
15     2.74642     0.529215     8.53071
16     -1.36283     -0.969205     8.62498
17     0.645704     0.74538     9.16386
18     -1.94532     0.432812     8.88213
19     -1.47445     -0.612641     8.80067
20     1.48805     0.354989     8.80689
21     -0.311053     -0.23222     8.21722
22     -1.41789     -0.333819     7.99791
23     -9.81939     3.1382     8.14927
24     -8.10473     1.72068     8.00119
25     -8.09117     2.93871     7.85858
26     -7.42321     2.50425     7.77726
27     -7.04013     3.91268     7.93
28     -9.90999     2.40494     8.12231
29     -11.129     3.39966     7.62348
30     -6.63235     3.99154     7.58447
31     -9.58953     2.84037     7.68761
32     -6.68503     3.50025     7.70781
33     -9.83034     2.08032     8.19198
34     -9.53382     3.90514     7.78288
35     -8.30249     2.99302     7.76644
36     -5.03246     2.07756     7.71207
37     -4.94631     1.88245     7.80666
38     -7.59618     3.43357     8.06933
39     -1.34795     -0.810215     7.43873
40     1.32783     -0.716836     8.63058
41     0.54196     0.262559     7.59947
42     1.95633     -0.13699     7.65222
43     -1.84072     -0.482377     7.67838
44     1.03371     -0.812405     7.63707
45     1.05388     0.292842     7.27709
46     1.95236     -0.411864     7.4727
47     -1.72416     -0.996978     7.43284
48     1.7759     -1.99568     7.44928
49     -2.21416     1.17041     7.17788
50     -1.17983     0     7.36505
51     1.51132     -0.0528945     7.53878
52     -0.12735     -0.605071     7.27381
53     -0.478019     -0.700122     7.51245
54     0.729979     -0.132801     7.43571
55     -1.18252     -0.658306     7.44721
56     -0.77353     -1.22334     7.16902
57     -0.447574     -0.0375645     7.6239
58     0.464617     -0.461428     7.46835
59     0.284044     -0.315477     7.67066
60     0.425387     -0.0204361     8.24537
61     0.105769     1.28915     8.18509
62     -1.46842     1.44942     8.50759
63     -5.29202     4.6578     7.80486
64     -6.52303     5.24564     8.10314
65     -6.86767     4.49359     7.51445
66     -9.81171     3.93679     8.01242
67     -6.07497     4.69677     7.93142
68     -8.69543     4.61794     7.93213
69     -9.29884     0.948616     7.70968
70     -7.304     0.0238074     7.65444
71     -9.75939     0.0268648     7.79772
72     -6.07035     1.00977     7.71043
73     -7.97992     -0.422386     7.59749
74     -8.86099     0.521352     7.7755
75     -8.16374     0.443677     7.79764
76     -7.17711     -0.452159     7.85963
77     -6.78096     3.50792     7.93847
78     -8.63798     2.69131     8.50454
79     1.92925     -0.643307     8.49838
80     -0.356109     -1.14997     8.66032
81     -1.00725     -8.59822     9.12254
82     2.00539     -9.24063     8.53811
83     -1.12264     -9.34102     8.32833
84     -1.65796     -9.24941     8.83113
85     0.729894     -9.26448     8.69635
86     -0.822526     -8.83634     8.4481
87     -1.02799     -8.11508     8.22119
88     0.121156     -9.95596     8.17782
89     -0.0497708     -7.36805     7.62862
90     0.222681     -8.86518     8.22933
91     -1.43837     -9.86735     7.97908
92     1.96841     -7.75691     8.70431
93     -1.4875     -8.22388     8.01158
94     -1.67072     -8.27587     7.62791
95     -2.10294     -6.80443     7.91981
96     1.53504     -9.41091     8.10661
97     2.00566     -8.7937     8.28221
98     -0.143967     -9.57512     10.4535
99     -1.05454     -9.33176     8.137
100     -1.25699     -8.69145     8.25624
