run	BC1	BC2	BC3	BC4	BC5
795	1379.7917235574	1323.5974159971	4687.7401258408	5058.5132287513	4296.3132196497
796	1379.8402940985	1322.8794328367	4687.5720979199	5058.3660959512	4295.4469900800
797	1379.8325069529	1322.2209342699	4687.4064686603	5058.2826142634	4294.6686750055
798	1379.7701391446	1321.6205645420	4687.2430829094	5058.2585653608	4293.9751519498
799	1379.6549676979	1321.0769678981	4687.0817855150	5058.2897309163	4293.3632984366
800	1379.4887696368	1320.5887885833	4686.9224213246	5058.3718926029	4292.8299919893
801	1379.2733219856	1320.1546708428	4686.7648351858	5058.5008320935	4292.3721101317
802	1379.0104017684	1319.7732589218	4686.6088719462	5058.6723310609	4291.9865303873
803	1378.7017860094	1319.4431970653	4686.4543764534	5058.8821711782	4291.6701302796
804	1378.3492517327	1319.1631295185	4686.3011935550	5059.1261341181	4291.4197873323
805	1377.9545759625	1318.9317005267	4686.1491680985	5059.4000015537	4291.2323790689
806	1377.5195357230	1318.7475543348	4685.9981449316	5059.6994734536	4291.1047830130
807	1377.0459080384	1318.6093351882	4685.8479689019	5060.0199229694	4291.0338766883
808	1376.5354699327	1318.5156873318	4685.6984848569	5060.3566415486	4291.0165376182
809	1375.9899984302	1318.4652550109	4685.5495376443	5060.7049206386	4291.0496433264
810	1375.4112705550	1318.4566824707	4685.4009721116	5061.0600516866	4291.1300713365
811	1374.8010633313	1318.4886139562	4685.2526331065	5061.4173261403	4291.2546991721
812	1374.1611537833	1318.5596937126	4685.1043654765	5061.7720354468	4291.4204043566
813	1373.4933189351	1318.6685659851	4684.9560140692	5062.1194710538	4291.6240644138
814	1372.7993358108	1318.8138750187	4684.8074237322	5062.4549244085	4291.8625568672
815	1372.0809814348	1318.9942650587	4684.6583796507	5062.7742226429	4292.1327592404
816	1371.3400328310	1319.2083803503	4684.5084283604	5063.0753356276	4292.4315490569
817	1370.5782670237	1319.4548651384	4684.3570567345	5063.3567689177	4292.7558038404
818	1369.7974610370	1319.7323636684	4684.2037516461	5063.6170280682	4293.1024011145
819	1368.9993918952	1320.0395201853	4684.0479999686	5063.8546186342	4293.4682184026
820	1368.1858366223	1320.3749789343	4683.8892885752	5064.0680461709	4293.8501332285
821	1367.3585722425	1320.7373841605	4683.7271043390	5064.2558162333	4294.2450231157
822	1366.5193757801	1321.1253801091	4683.5609341334	5064.4164343766	4294.6497655878
823	1365.6700242591	1321.5376110252	4683.3902648315	5064.5484061558	4295.0612381683
824	1364.8122947037	1321.9727211540	4683.2145833067	5064.6502371260	4295.4763183809
825	1363.9479641381	1322.4293547407	4683.0333764320	5064.7204328424	4295.8918837491
826	1363.0788095865	1322.9061560303	4682.8461310808	5064.7574988600	4296.3048117966
827	1362.2066080730	1323.4017692680	4682.6523341263	5064.7599407339	4296.7119800469
828	1361.3331366218	1323.9148386990	4682.4514724417	5064.7262640193	4297.1102660235
829	1360.4601722570	1324.4440085684	4682.2430329003	5064.6549742712	4297.4965472501
830	1359.5894920028	1324.9879231214	4682.0265023752	5064.5445770447	4297.8677012503
831	1358.7228728834	1325.5452266031	4681.8013677397	5064.3935778949	4298.2206055477
832	1357.8620919229	1326.1145632586	4681.5671158671	5064.2004823770	4298.5521376658
833	1357.0089261455	1326.6945773332	4681.3232336306	5063.9637960460	4298.8591751282
834	1356.1651525754	1327.2839130719	4681.0692079033	5063.6820244570	4299.1385954585
835	1355.3325482368	1327.8812147199	4680.8045255586	5063.3536731651	4299.3872761803
836	1354.5128901537	1328.4851265223	4680.5286734697	5062.9772477254	4299.6020948171
837	1353.7079553504	1329.0942927243	4680.2411385098	5062.5512536930	4299.7799288927
838	1352.9195208510	1329.7073575711	4679.9414075521	5062.0741966231	4299.9176559304
839	1352.1493636796	1330.3229653078	4679.6289674698	5061.5445820706	4300.0121534540
840	1351.3992608606	1330.9397601795	4679.3033051363	5060.9609155908	4300.0602989870
841	1350.6709894179	1331.5563864314	4678.9639074247	5060.3217027386	4300.0589700531
842	1349.9663263759	1332.1714883086	4678.6102612082	5059.6254490693	4300.0050441757
843	1349.2870487585	1332.7837100563	4678.2418533601	5058.8706601379	4299.8953988784
