ch coef error
========
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0.0218784 0
65 0.0214453 0
66 0.0240338 0
67 0.0151612 0
68 0.0176706 0
69 0.0189826 0
70 0.0257009 0
71 0.022196 0
72 0.0248365 0
73 0.0284353 0
74 0.0263437 0
75 0.0340434 0
76 0.0234456 0
77 0.0213345 0
78 0.0244471 0
79 0.0220715 0
80 0.0190468 0
81 0.0196814 0
82 0.0178149 0
83 0.0147618 0
84 0.0184392 0
85 0.0198666 0
86 0.0197557 0
87 0.021364 0
88 0.0172669 0
89 0.0185631 0
90 0.0165314 0
91 0.0212551 0
92 0.0246171 0
93 0.0240246 0
94 0.0258582 0
95 0.0293102 0
96 0.0321383 0
97 0.0206417 0
98 0.0239565 0
99 0.0211148 0
100 0.0183708 0
101 0.0183278 0
102 0.0197854 0
103 0.0172251 0
104 0.0187846 0
105 0.0167976 0
106 0.0201056 0
107 0.0184737 0
108 0.0193179 0
109 0.0182816 0
110 0.0165744 0
111 0.017513 0
112 0.0227547 0
113 0.0210329 0
114 0.0226505 0
115 0.022978 0
116 0.0247145 0
117 0.0298136 0
118 0.0224354 0
119 0.0209417 0
120 0.021805 0
121 0.0160311 0
122 0.0168755 0
123 0.0165285 0
124 0.0207698 0
125 0.0174956 0
126 0.0215222 0
127 0.0274297 0
128 0.0216907 0
129 0.0260463 0
130 0.0279453 0
131 0.0269945 0
132 0.0254964 0
133 0.0223846 0
134 0.0218915 0
135 0.025626 0
136 0.0396085 0
137 0.0307626 0
138 0.0349012 0
139 0.0190503 0
140 0.01584 0
141 0.018565 0
142 0.0298619 0
143 0 0
144 0.0286259 0
145 0.0181906 0
146 0.0160393 0
147 0.0200037 0
148 0.0214662 0
149 0.0262686 0
150 0.0248926 0
151 0.0262002 0
152 0.025126 0
153 0.022575 0
154 0.0228059 0
155 0.0233034 0
156 0.0198283 0
157 0.0194094 0
158 0.0390929 0
159 0.0377801 0
160 0.0168055 0
161 0.0190143 0
162 0.0165753 0
163 0.0192735 0
164 0.0265738 0
165 0.028146 0
166 0.0196509 0
167 0.0169965 0
168 0.0193506 0
169 0.0230332 0
170 0.0208042 0
171 0.0246933 0
172 0.026467 0
173 0.0255733 0
174 0.0245743 0
175 0.0230747 0
176 0.0198219 0
177 0.0228929 0
178 0.0355346 0
179 0.0382428 0
180 0.0362645 0
181 0.0198166 0
182 0.017377 0
183 0.0165349 0
184 0.0279867 0
185 0.026072 0
186 0.0287828 0
187 0.0189896 0
188 0.0190717 0
189 0.0213822 0
190 0.033845 0
191 0.0312934 0
192 0.0408349 0
193 0.0195711 0
194 0.0181474 0
195 0.0204004 0
196 0.0324842 0
197 0.0308804 0
198 0.0321664 0
199 0.0439041 0
200 0.0333709 0
201 0.0423099 0
202 0.0236392 0
203 0.0242127 0
204 0.0251647 0
205 0.0238153 0
206 0.0217157 0
207 0.022663 0
208 0.0263396 0
209 0.0210966 0
210 0.0252588 0
211 0.0274526 0
212 0.0349556 0
213 0.0315327 0
214 0.0200706 0
215 0.0197153 0
216 0.0185755 0
217 0.0310482 0
218 0.030607 0
219 0.0287927 0
220 0.0355819 0
221 0.0403152 0
222 0.0153457 0
223 0.0248003 0
224 0.0232293 0
225 0.0215364 0
226 0.0195007 0
227 0.0224262 0
228 0.0223964 0
229 0.023522 0
230 0.0238084 0
231 0.024115 0
232 0.0335553 0
233 0.0291752 0
234 0.0334024 0
235 0.0205345 0
236 0.0198017 0
237 0.021273 0
238 0.0301422 0
239 0.0207476 0
240 0.028957 0
241 0.0444197 0
242 0.0379973 0
243 0.04736 0
244 0.024649 0
245 0.0252744 0
246 0.0260038 0
247 0.0233435 0
248 0.0203358 0
249 0.0231748 0
250 0.026686 0
251 0.0238145 0
252 0.0285117 0
253 0.026538 0
254 0.0238804 0
255 0.0247491 0
256 0.0244081 0
257 0.026631 0
258 0.0267475 0
259 0.0258953 0
260 0.0241467 0
261 0.0276044 0
