DigiParameters: pedBegin pedEnd gateBegin gateEnd signalThresh signalType (0 - max, 1 - integral)
0    8    9    35    4    1
Channel Calibration     Error
1    15.61    0.0
2    15.42    0.0
3    17.43    0.0
4    16.16    0.0
5    18.79    0.0
6    20.52    0.0
7    16.44    0.0
8    16.79    0.0
9    25.76    0.0
10    16.47    0.0
11    16.38    0.0
12    14.90    0.0
13    14.44    0.0
14    15.18    0.0
15    15.37    0.0
16    17.72    0.0
17    15.32    0.0
18    13.55    0.0
19    14.13    0.0
20    16.39    0.0
21    14.72    0.0
22    12.31    0.0
23    28.87    0.0
24    20.49    0.0
25    16.63    0.0
26    22.81    0.0
27    19.88    0.0
28    15.32    0.0
29    14.93    0.0
30    15.47    0.0
31    18.05    0.0
32    25.77    0.0
33    20.63    0.0
34    22.68    0.0
35    17.55    0.0
36    26.78    0.0
37    16.16    0.0
38    15.38    0.0
39    17.83    0.0
40    15.60    0.0
41    13.87    0.0
42    26.64    0.0
43    17.18    0.0
44    18.87    0.0
45    21.14    0.0
46    39.60    0.0
47    13.57    0.0
48    19.28    0.0
49    13.52    0.0
50    52.25    0.0
51    20.41    0.0
52    17.19    0.0
53    13.73    0.0
54    20.50    0.0
55    50.25    0.0
56    23.53    0.0
57    24.78    0.0
58    24.57    0.0
59    18.22    0.0
60    40.11    0.0
61    25.84    0.0
62    20.03    0.0
63    18.89    0.0
64    18.90    0.0
65    17.97    0.0
66    16.63    0.0
67    16.31    0.0
68    15.01    0.0
69    8.000    0.0
70    33.77    0.0
71    34.59    0.0
72    32.59    0.0
73    41.79    0.0
74    37.44    0.0
75    55.47    0.0
76    36.52    0.0
77    34.23    0.0
78    32.88    0.0
79    35.28    0.0
80    32.21    0.0
81    98.34    0.0
82    67.00    0.0
83    60.67    0.0
84    37.93    0.0
85    63.27    0.0
86    30.17    0.0
87    38.03    0.0
88    27.83    0.0
89    35.47    0.0
90    64.37    0.0
91    33.18    0.0
92    32.59    0.0
93    35.20    0.0
94    34.79    0.0
95    33.95    0.0
96    14.43    0.0
97    40.27    0.0
98    33.07    0.0
99    39.20    0.0
100    36.85    0.0
101    42.03    0.0
102    41.61    0.0
103    78.22    0.0
104    58.40    0.0
105     1.00    0.0
106     1.00    0.0
107     1.00    0.0
108     1.00    0.0
109     1.00    0.0
110     1.00    0.0
111     1.00    0.0
112     1.00    0.0
