Channel	Calibration	Error
1       55.0		0.0
2       48.0		0.0
3       51.0		0.0
4       47.0		0.0
5       53.0		0.0
6       47.0		0.0
7       47.0		0.0
8       44.0		0.0
9       47.0		0.0
10      46.0		0.0
11      48.0		0.0
12      22.0		0.0
13      47.0		0.0
14      46.0		0.0
15      48.0		0.0
16      55.0		0.0
17      51.0		0.0
18      51.0		0.0
19      45.0		0.0
20      37.0		0.0
21      41.0		0.0
22      49.0		0.0
23      48.0		0.0
24      48.0		0.0
25      48.0		0.0
26      51.0		0.0
27      45.0		0.0
28      50.0		0.0
29      62.0		0.0
30      67.0		0.0
31      54.0		0.0
32      59.0		0.0
33      56.0		0.0
34      53.0		0.0
35      56.0		0.0
36      56.0		0.0
37      62.0		0.0
38      65.0		0.0
39      55.0		0.0
40      61.0		0.0
41      56.0		0.0
42      49.0		0.0
43      46.0		0.0
44      48.0		0.0
45      47.0		0.0
46      46.0		0.0
47      50.0		0.0
48      47.0		0.0
49      51.0		0.0
50      46.0		0.0
51      62.0		0.0
52      58.0		0.0
53      42.0		0.0
54      47.0		0.0
55      44.0		0.0
56      48.0		0.0
57      50.0		0.0
58      38.0		0.0
59      43.0		0.0
60      49.0		0.0
61      20.0		0.0
62      43.0		0.0
63      50.0		0.0
64      49.0		0.0
65      41.0		0.0
66      51.0		0.0
67      44.0		0.0
68      43.0		0.0
69      47.0		0.0
70      40.0		0.0
71      41.0		0.0
72      47.0		0.0
73      42.0		0.0
74      38.0		0.0
75      27.0		0.0
76      37.0		0.0
77      40.0		0.0
78      42.0		0.0
79      36.0		0.0
80      30.0		0.0
81      34.0		0.0
82      38.0		0.0
83      38.0		0.0
84      38.0		0.0
85      39.0		0.0
86      25.0		0.0
87      42.0		0.0
88      40.0		0.0
89      42.0		0.0
90      40.0		0.0
91      42.0		0.0
92      41.0		0.0
93      41.0		0.0
94      39.0		0.0
95      39.0		0.0
96      41.0		0.0
97      35.0		0.0
98      39.0		0.0
99      44.0		0.0
100     31.0		0.0
101     36.0		0.0
102     39.0		0.0
103     34.0		0.0
104     39.0		0.0
