DigiParameters: pedBegin pedEnd gateBegin gateEnd signalThresh signalType (0 - max, 1 - integral)
0    5    6    25    4    0
Channel	Calibration	Error
1 	33.8		0.0
2 	30.6		0.0
3 	31.3		0.0
4 	30.11		0.0
5 	31.52		0.0
6 	29.62		0.0
7 	32.11		0.0
8 	32.34		0.0
9 	29.38		0.0
10	31.0		0.0
11	30.7		0.0
12	29.81		0.0
13	29.33		0.0
14	31.1 		0.0
15	31.71		0.0
16	30.3 		0.0
17	30.05		0.0
18	18.  		0.0
19	29.98		0.0
20	36.43		0.0
21	32.5 		0.0
22	29.46		0.0
23	31.85		0.0
24	29.85		0.0
25	30.2 		0.0
26	30.68		0.0
27	28.22		0.0
28	29.24		0.0
29	30.04		0.0
30	30.24		0.0
31	30.21		0.0
32	29.94		0.0
33	30.27		0.0
34	31.89		0.0
35	29.21		0.0
36	29.02		0.0
37	31.36		0.0
38	 31.5		0.0
39	29.27		0.0
40	31.45		0.0
41	30.19		0.0
42	31.02		0.0
43	31.76		0.0
44	30.61		0.0
45	31.36		0.0
46	29.49		0.0
47	32.79		0.0
48	29.92		0.0
49	32.5 		0.0
50	31.85		0.0
51	31.25		0.0
52	32.47		0.0
53	15.  		0.0
54	32.94		0.0
55	31.79		0.0
56	30.78		0.0
57	33.47		0.0
58	30.23		0.0
59	29.23		0.0
60	31.28		0.0
61	29.19		0.0
62	29.29		0.0
63	29.51		0.0
64	32.22		0.0
65	35.83		0.0
66	27.9 		0.0
67	30.76		0.0
68	30.67		0.0
69	45.89		0.0
70	46.43		0.0
71	53.48		0.0
72	49.12		0.0
73	50.35		0.0
74	49.42		0.0
75	50.3 		0.0
76	50.33		0.0
77	51.0 		0.0
78	51.14		0.0
79	50.87		0.0
80	53.03		0.0
81	57.74		0.0
82	42.98		0.0
83	46.07		0.0
84	50.71		0.0
85	52.79		0.0
86	49.62		0.0
87	47.0 		0.0
88	50.05		0.0
89	49.92		0.0
90	50.83		0.0
91	51.73		0.0
92	54.5 		0.0
93	50.94		0.0
94	51.41		0.0
95	51.75		0.0
96	49.74		0.0
97	52.7 		0.0
98	48.1 		0.0
99	45.45		0.0
100	46.44		0.0
101	53.06		0.0
102	51.8 		0.0
103	57.38		0.0
104	50.98		0.0
105     1.00            0.0
106     1.00            0.0
107     1.00            0.0
108     1.00            0.0
109     1.00            0.0
110     1.00            0.0
111     1.00            0.0
112     1.00            0.0
